Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
W. Ndidi,Leicester City,Leicester City,"RCMF, RDMF",27,32000000,2024-06-30,21,1453,2,5.16,5,2.55,16.35,47.73,Nigeria,Nigeria,right,183,74,no,6.81,5.64,62.64,2.35,47.37,0.06,0.1,0.31,3.22,5,1.24,2,0.12,0,0,2.42,0.12,2,0.12,0.32,0,0,33,2.04,33.33,6.061,0.31,2.11,44.12,0.43,28.57,1.67,48.15,0.68,1.49,50,5.51,32.58,4.34,0.87,0.12,27.13,1.05,0.81,34.44,81.65,8.3,61.94,9.11,93.2,9.79,86.71,30.85,85.74,1.49,50,16.17,22.18,0.16,0.93,0,0,0.37,16.67,0.62,3.78,75.41,2.11,55.88,0.5,12.5,0.93,0.93,4.77,70.13,0,,0,,0,0,0,0,,,0.43,,,0,0,0,0,0,0
K. Dewsbury-Hall,Leicester City,Leicester City,"LCMF, AMF",25,25000000,2027-06-30,27,2407,9,7.73,6,8.31,16.64,47.64,England,England,left,178,70,no,5.01,3.33,67.42,1.46,35.9,0.37,0.57,0.07,2.39,3.66,0.52,4,0.15,0,0,4.04,0.34,8,0.3,0.29,2,0.07,57,2.13,36.84,15.789,0.22,2.32,40.32,1.94,38.46,0.26,57.14,0.22,3.29,59.09,9.39,46.22,3.7,2.95,1.65,34.7,0.9,1.46,43.49,84.52,9.5,69.29,12.71,98.53,13.65,84.11,39.3,88.87,1.98,47.17,17.37,36.82,0.31,2.13,0.11,0.04,1.23,30.3,0.9,4.6,70.73,3.78,59.41,1.01,22.22,1.91,0.9,5.12,78.1,0,,0,,0,0,0,0,,,0.45,,,0.82,0.11,0,2.88,1,100
Fábio Carvalho,Hull City,Hull City,"AMF, CF",21,20000000,2027-06-30,2,186,1,0.57,0,0.12,37.26,35.06,Portugal,"Portugal, England",right,170,62,yes,6.77,10.65,45.45,2.42,20,0,0,0,1.94,2.61,2.42,0,0,0,0,3.39,0.48,1,0.48,0.28,0,0,5,2.42,20,20,0,2.9,0,1.94,0,0.97,0,0.97,5.32,54.55,20.81,32.56,4.84,3.39,0,26.61,0.48,4.84,38.71,83.75,8.71,83.33,10.16,95.24,7.26,73.33,35.32,90.41,0.48,100,12.4,23.43,0.06,1.45,0,0,0,0,0.48,1.45,100,2.9,66.67,0,0,0.97,0.48,4.35,44.44,0,,0,,0,0,0,0,,,0,,,0,0,0,0.97,0,0
J. Aribo,Southampton,Southampton,"RCMF, LCMF",27,15000000,2026-06-30,20,881,1,1.3,0,0.69,21.96,45.58,England,"England, Nigeria",left,183,76,no,7.66,6.44,65.08,1.63,43.75,0.31,0.52,0.1,3.17,5.41,0.92,4,0.41,0,0,3.37,0.1,1,0.1,0.13,0,0,10,1.02,20,10,0,1.12,27.27,0.72,28.57,0.41,25,0,3.98,58.97,11.54,36.28,2.25,2.86,0.72,39.33,1.12,1.12,50.87,91.16,10.83,82.08,17.06,97.6,11.85,93.97,49.55,92.99,0.31,33.33,13.62,6.04,0.07,0.82,0.1,0,0.82,62.5,0.31,3.78,81.08,2.55,76,0.61,50,1.63,0.2,3.98,92.31,0,,0,,0,0,0,0,,,1.23,,,0,0,0,0.1,0,0
C. Alcaraz,Southampton,Southampton,"AMF, LCMF, CF",21,12000000,2028-06-30,23,1248,3,5.33,1,0.67,18.39,45.1,Argentina,Argentina,right,183,68,no,6.06,5.12,60.56,2.52,54.29,0,0,0.07,2.96,5.15,0.58,4,0.29,0,0,3.68,0.22,3,0.22,0.38,0,0,39,2.81,41.03,7.692,0.07,0.79,18.18,0.29,25,0.5,14.29,0.22,4.33,50,8.29,35.65,2.38,1.95,0.36,37.28,0.72,1.08,43.2,85.14,9.45,72.52,10.67,96.62,14.35,86.93,40.89,87.48,1.66,52.17,17.59,24.85,0.05,0.72,0,0,0.79,27.27,0.43,4.76,75.76,2.96,60.98,0.5,28.57,1.73,0.14,4.76,77.27,0,,0,,0,0,0,0,,,0.36,,,0.29,0.22,66.67,0.07,1,0
C. Casadei,Chelsea U21,Leicester City,"RCMF, RDMF",21,12000000,2028-06-30,22,1012,2,3.23,0,0.49,18.76,52.13,Italy,Italy,right,185,77,no,6.76,6.23,55.71,3.74,66.67,0.62,0.95,0.09,2.67,4.05,1.33,1,0.09,0,0,1.33,0.18,2,0.18,0.29,1,0.09,20,1.78,35,10,0,0.71,25,0.09,0,0.62,28.57,0.18,1.78,30,6.4,40.28,2.13,1.25,0.8,25.79,0.44,1.6,34.86,86.48,9.69,77.98,9.96,94.64,7.92,86.52,33.26,88.5,0.89,60,15.44,11.07,0.04,0.71,0,0.09,0.18,0,0.36,3.91,81.82,0.8,55.56,0.09,0,0.36,0.09,3.02,61.76,0,,0,,0,0,0,0,,,0.62,,,0,0,0,0,0,0
C. Patino,Swansea City,Swansea City,"LCMF, AMF, RCMF",20,12000000,,22,1191,3,1.15,4,2.49,18.89,46,England,"England, Spain",left,182,71,yes,7.71,5.59,52.7,3.55,44.68,1.21,1.52,0.3,3.55,4.48,1.28,2,0.15,1,0.08,2.72,0.23,3,0.23,0.09,0,0,11,0.83,27.27,27.273,0.3,1.89,36,1.28,41.18,0.6,25,0.38,3.02,52.5,7.41,41.84,0.53,1.36,0.23,33.93,0.6,1.66,46.4,82.57,13.22,68.57,11.26,97.32,14.43,83.77,40.28,88.74,4.23,44.64,18.13,34.06,0.19,1.21,0.08,0.08,0.3,75,0.38,5.97,55.7,3.17,38.1,0.76,20,0.53,0.68,6.27,75.9,0,,0,,0,0,0,0,,,0.53,,,0.3,0,0,1.59,0,0
J. Piroe,Leeds United,Leeds United,"AMF, CF",24,10000000,2024-06-30,28,2311,10,12.7,1,0.88,14.29,37.06,Netherlands,"Netherlands, Suriname",left,185,81,no,3.5,3.12,61.25,2.18,17.86,0.04,0.05,0.16,1.56,2.19,0.55,0,0,0,0,2.26,0.39,8,0.31,0.49,0,0,65,2.53,44.62,15.385,0.04,0.12,33.33,0.08,50,0.04,0,0,1.52,53.85,6.35,32.52,2.57,1.25,0.51,16.71,0.35,0.43,22.86,81.94,6.15,75.32,5.57,88.11,6.7,82.56,22.35,83.1,0.39,30,14.71,10.42,0.03,0.51,0,0,0.58,46.67,0.27,2.73,75.71,1.09,39.29,0.55,35.71,0.7,0.04,2.77,69.01,0,,0,,0,0,0,0,,,0.04,,,0.35,0.23,16.67,0,2,100
I. Louza,Lorient,Watford,RCMF,24,9000000,2028-06-30,15,1008,1,0.8,3,2.08,17.5,35.2,France,"France, Morocco",left,178,65,yes,7.05,7.59,49.41,1.16,15.38,0.63,0.87,0.09,2.68,3.73,1.88,4,0.36,0,0,1.52,0.09,1,0.09,0.07,0,0,20,1.79,15,5,0.27,1.96,22.73,0.45,20,1.52,23.53,0.45,1.34,46.67,6.34,22.54,1.7,0.89,0.18,39.64,0.8,0.45,48.93,87.41,11.79,78.79,12.14,99.26,16.52,84.86,43.04,92.53,3.93,63.64,17.11,26.78,0.19,1.52,0.09,0.18,0.27,66.67,0.71,6.07,73.53,3.39,52.63,1.34,60,1.25,0.54,5.45,83.61,0,,0,,0,0,0,0,,,0.98,,,1.07,0.36,25,3.04,0,0
D. Praet,Leicester City,Leicester City,"RCMF, RWF, CF",29,8000000,2024-06-30,5,196,0,0.46,1,0.92,11.94,30.77,Belgium,Belgium,right,181,78,no,3.67,3.67,37.5,1.38,0,0,0,0,2.3,4.55,0.46,0,0,0,0,2.3,0,0,0,0.21,0,0,3,1.38,33.33,0,0.46,2.76,50,0.46,0,2.3,60,0.46,0.92,50,3.21,57.14,3.21,0.92,0,38.57,0.92,1.38,45,88.78,7.81,70.59,18.37,97.5,11.02,91.67,41.79,91.21,0.46,100,17.27,7.26,0.42,1.38,0.46,0,0.46,0,1.38,2.76,66.67,1.38,100,0.92,50,0.46,1.38,3.67,62.5,0,,0,,0,0,0,0,,,2.76,,,0,0,0,0,0,0
