Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
P. Struijk,Leeds United,Leeds United,"LCB, RCB",24,20000000,2027-06-30,23,2208,3,3.05,0,0.09,11.7,62.02,Belgium,"Belgium, Netherlands",left,190,79,no,7.34,4.57,75,3.67,58.89,0.16,0.23,0.37,3.75,5.34,0.61,1,0.04,0,0,0.45,0.12,2,0.08,0.12,1,0.04,11,0.45,45.45,27.273,0,0.16,50,0.16,50,0,0,0,0.29,42.86,1.22,46.67,0.69,1.26,0.24,55.15,0.2,0.33,71.82,92.11,28.08,84.47,3.55,98.85,32.53,97.62,67.42,95.53,4.24,39.42,19.58,37.59,0,0.16,0,0,0.16,25,0.08,8.32,77.45,0.65,43.75,0.24,16.67,0.24,0.08,10.48,78.99,0,,0,,0,0,0,0,,,2.77,,,0,0,0,0,1,100
W. Faes,Leicester City,Leicester City,"RCB, LCB",25,20000000,2027-06-30,25,2421,1,0.97,0,0.36,12.3,57.7,Belgium,Belgium,right,187,84,no,9.03,5.43,69.18,2.19,45.76,0.41,0.63,0.74,4.87,7.44,0.59,3,0.11,0,0,0.86,0.04,1,0.04,0.04,1,0.04,11,0.41,36.36,9.091,0,0.22,66.67,0.11,66.67,0.07,50,0,0.71,73.68,2.34,57.14,0.52,2.75,0.52,58.14,0.86,0.59,72.45,91.53,29.11,86.08,6.28,98.22,27.29,96.05,66.21,94.1,6.02,64.2,18.55,41.29,0.01,0.22,0,0.07,0.26,14.29,0.07,9.67,79.62,1.12,50,0.89,25,0.45,0.11,9.89,77.07,0,,0,,0,0,0,0,,,4.24,,,0,0,0,0,0,0
T. Harwood-Bellis,Southampton,Southampton,"RCB, LCB",21,20000000,2024-06-30,22,2127,2,1.47,1,0.68,10.24,52.48,England,England,right,188,73,yes,7.4,3.85,63.74,3.81,43.33,0.17,0.27,0.63,4.78,7.67,0.38,2,0.08,0,0,0.38,0.08,2,0.08,0.06,1,0.04,11,0.47,45.45,18.182,0.04,0.04,0,0.04,0,0,0,0,0.21,80,0.63,46.67,0.8,1.18,0.08,68.93,0.21,0.25,83.4,92.74,27.38,82.69,5.71,99.26,41.3,98.36,77.52,95.25,5.84,60.14,19.52,38.12,0.03,0.13,0,0.08,0.21,0,0.17,8.67,79.02,0.59,50,1.06,24,0.25,0,10.32,73.77,0,,0,,0,0,0,0,,,4.32,,,0,0,0,0,0,0
C. Coady,Leicester City,Leicester City,"RCB, LCB",30,18000000,2025-06-30,7,470,0,0,0,0,7.09,56.76,England,England,right,185,80,no,5.94,2.87,73.33,2.68,42.86,0,0,0.38,3.83,6.98,0.38,1,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,50,0,0.77,0,81.96,2.87,0.38,95.74,95.6,36.77,91.67,4.79,100,45.19,98.31,90.96,97.47,4.79,60,21.83,43.9,0,0,0,0,0.19,0,0,10.15,79.25,0.38,0,0.38,0,0,0,13.6,87.32,0,,0,,0,0,0,0,,,3.64,,,0,0,0,0,0,0
H. Souttar,Leicester City,Leicester City,RCB,25,15000000,2028-06-30,3,111,0,0,0,0,9.73,75,Scotland,"Scotland, Australia",right,198,80,no,3.24,1.62,100,4.86,83.33,0,0,0,1.62,3.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,76.22,0.81,0,87.57,87.96,32.43,70,2.43,100,44.59,98.18,83.51,91.26,4.05,20,12.54,27.85,0,0,0,0,0.81,0,0,19.46,66.67,1.62,0,1.62,0,0,0,10.54,69.23,0,,0,,0,0,0,0,,,1.62,,,0,0,0,0,0,0
J. Bednarek,Southampton,Southampton,"LCB, RCB",27,14000000,2025-06-30,26,2498,1,2.63,0,0.98,10.02,60.43,Poland,Poland,right,189,77,no,7.1,3.42,64.21,3.06,54.12,0.29,0.49,0.54,4.61,7.89,0.72,8,0.29,0,0,0.32,0.04,1,0.04,0.09,0,0,9,0.32,44.44,11.111,0,0.04,0,0.04,0,0,0,0,0.18,80,0.97,40.74,0.72,2.05,0.04,67.59,0.07,0.32,84.67,96.04,28.32,92.49,5.33,97.97,38.44,97.94,81.39,97.21,3.24,67.78,17.03,40.86,0.04,0.22,0.04,0,0.11,33.33,0.11,7.67,89.2,0.29,37.5,0.14,75,0.18,0,7.67,82.63,0,,0,,0,0,0,0,,,3.64,,,0,0,0,0,0,0
B. Cabango,Swansea City,Swansea City,"RCB, CB",23,13000000,2025-06-30,21,1910,0,1.16,0,0.86,14.14,65,Wales,"Wales, Angola",right,188,81,no,8.53,5.65,68.33,4.81,65.69,0.24,0.32,0.47,4.43,6.03,0.61,4,0.19,0,0,0.33,0,0,0,0.05,0,0,9,0.42,11.11,0,0,0,0,0,0,0,0,0,0.33,85.71,1.37,62.07,0.57,1.08,0.05,41.65,0.19,0.47,56.87,88.65,21.44,77.8,2.45,96.15,27.05,95.99,50.89,93.61,5.98,46.46,20.02,37.04,0.04,0.19,0.05,0.05,0.05,0,0.05,5.7,61.16,0.61,23.08,0.47,30,0.24,0,8.25,63.43,0,,0,,0,0,0,0,,,1.84,,,0,0,0,0,0,0
M. Holgate,Southampton,Southampton,"RCB, LCB, RB",27,12000000,2025-06-30,5,321,0,0.05,0,0.18,13.46,52.08,England,"England, Jamaica",right,184,75,yes,8.41,5.89,71.43,2.52,44.44,0.28,0.41,0.28,3.93,5.68,0.56,1,0.28,0,0,0.56,0,0,0,0.01,0,0,2,0.56,50,0,0,0.56,50,0,0,0.56,50,0,0,0,2.24,25,0.56,2.52,1.12,44.86,1.12,0.84,55.23,90.36,19.35,79.71,8.41,100,17.94,93.75,50.75,93.92,4.21,53.33,20.8,31.33,0.05,0.28,0,0,0,0,0,5.61,65,1.4,40,0.28,0,0.56,0.28,5.33,68.42,0,,0,,0,0,0,0,,,6.17,,,0,0,0,0,0,0
J. Greaves,Hull City,Hull City,"LCB, LB",23,11000000,2026-06-30,27,2704,0,1.24,1,0.61,16.14,61.03,England,England,left,193,86,no,7.99,4.99,65.33,5.29,68.55,0.33,0.43,0.5,4.39,5.68,0.77,8,0.27,0,0,1.1,0,0,0,0.04,0,0,10,0.33,30,0,0.03,0.5,20,0.5,20,0,0,0.13,1.43,62.79,3.36,48.51,0.97,0.97,0.53,50.29,0.23,1.13,64.34,91.67,22.23,81.89,5.59,100,29.36,97.62,59.78,95.16,4.06,49.18,19.2,35.44,0.02,0.3,0,0,0.13,0,0.03,5.19,71.15,0.87,57.69,0.3,33.33,0.37,0.13,7.52,72.57,0,,0,,0,0,0,0,,,3,,,0,0,0,0,0,0
J. Tanganga,Millwall,Millwall,RCB,24,9000000,2025-06-30,2,128,0,0.08,0,0.04,26.02,59.46,England,"England, Congo DR",right,184,76,yes,8.44,4.22,100,12.66,61.11,0.7,1.11,0,3.52,5.56,0,0,0,0,0,0.7,0,0,0,0.05,0,0,1,0.7,0,0,0,1.41,0,0,0,1.41,0,0,2.81,25,5.63,37.5,0.7,2.81,1.41,37.97,0.7,0,52.73,78.67,25.31,66.67,7.03,100,13.36,89.47,41.48,88.14,9.84,50,23.84,36.82,0.03,0.7,0,0,0,0,0,7.73,63.64,2.11,66.67,0.7,0,0.7,0,13.36,68.42,0,,0,,0,0,0,0,,,0.7,,,0,0,0,0,0,0
