Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Walker-Peters,Southampton,Southampton,RB,26,25000000,2025-06-30,28,2822,2,1.22,3,4.3,22.13,54.03,England,England,right,173,62,no,7.65,6.92,60.37,1.34,45.24,0.22,0.38,0.16,3.25,5.49,0.8,2,0.06,0,0,5.13,0.06,2,0.06,0.04,0,0,25,0.8,16,8,0.1,2.2,31.88,0.03,100,2.14,31.34,0.26,5.8,69.23,12.12,53.68,2.81,5.01,1.66,46.91,2.14,1.85,58.81,90.94,17.16,85.32,10.52,98.18,16.65,91,55.52,94.08,1.12,48.57,14.85,24.04,0.14,1.08,0.03,0.03,0.61,47.37,0.61,5.96,89.84,3.03,64.21,0.7,50,1.63,0.7,6.73,80.57,0,,0,,0,0,0,0,,,0.54,,,0,0,0,0.19,0,0
J. Justin,Leicester City,Leicester City,"LB, RB",25,25000000,2026-06-30,22,1786,2,0.7,1,0.55,16.58,55.93,England,"England, St. Lucia",right,183,80,no,11.04,7.61,65.56,3.28,55.38,0.3,0.45,0.45,5.74,8.49,0.66,2,0.1,0,0,0.96,0.1,2,0.1,0.04,1,0.05,6,0.3,50,33.333,0.05,0.71,42.86,0.2,75,0.45,22.22,0.05,1.21,29.17,3.12,45.16,0.55,1.61,0.6,54.88,0.66,1.06,65.06,89.93,21.16,81.9,10.43,96.62,22.32,93.68,60.37,93.07,4.03,51.25,18.04,34.12,0.03,0.3,0.05,0,0.3,50,0.2,9.22,81.97,1.06,42.86,0.5,10,0.25,0.3,8.67,76.16,0,,0,,0,0,0,0,,,1.56,,,0,0,0,0,0,0
D. Spence,Tottenham Hotspur,Leeds United,"LB, RB",23,13000000,2027-06-30,7,410,0,0.07,0,0.22,25.46,50.86,England,"England, Jamaica",right,184,71,no,10.1,8.12,67.57,1.1,60,0.22,0.3,1.1,4.39,6,0.66,0,0,0,0,3.51,0,0,0,0.02,0,0,2,0.44,0,0,0,2.2,20,1.54,28.57,0.66,0,0,4.83,59.09,13.39,39.34,3.07,4.61,1.1,36.88,0.66,1.1,50.05,84.21,11.41,75,15.37,97.14,12.07,87.27,46.32,88.63,1.76,37.5,16.37,25.22,0.05,0.88,0,0,0.22,100,0.22,3.73,76.47,1.76,50,0.22,100,1.32,0.44,7.46,79.41,0,,0,,0,0,0,0,,,0.44,,,0,0,0,0,0,0
Junior Firpo,Leeds United,Leeds United,LB,27,12000000,2025-06-30,9,511,0,0.53,4,2.23,20.25,60,Dominican Republic,"Dominican Republic, Spain",left,184,78,no,12.15,9.33,71.7,4.23,41.67,0.18,0.25,0.53,5.28,7.63,0.88,2,0.35,0,0,3.35,0,0,0,0.09,0,0,4,0.7,25,0,0.7,2.47,50,2.47,50,0,0,0.53,1.94,81.82,4.05,56.52,4.05,1.41,0.18,38.75,1.59,0.7,48.43,87.64,14.44,81.71,13.56,93.51,12.15,86.96,44.03,90.8,1.94,63.64,16.43,20.77,0.39,1.23,0,0.18,0.53,66.67,1.23,4.05,91.3,1.41,75,0.35,50,1.41,1.06,7.4,76.19,0,,0,,0,0,0,0,,,0.53,,,0.53,0.18,0,0.18,0,0
Ricardo Pereira,Leicester City,Leicester City,"RB, LB",30,12000000,2026-06-30,25,2326,2,1.91,4,2.31,16.87,53.21,Portugal,"Portugal, Cape Verde Islands",right,175,70,no,10.21,7.58,66.33,2.67,46.38,0.66,1.01,0.27,4.53,6.95,0.77,7,0.27,0,0,1.16,0.08,2,0.08,0.07,1,0.04,17,0.66,41.18,11.765,0.15,0.23,50,0.08,100,0.15,25,0.08,0.93,41.67,4.41,38.6,0.74,0.7,0.54,49.91,0.35,1.01,61.17,92.03,11.88,78.18,16.6,97.2,18.57,94.58,58.31,93.3,2.63,67.65,14.96,32.19,0.09,0.77,0,0,0.5,76.92,0.43,3.95,83.33,1.12,72.41,0.46,66.67,0.89,0.15,5.49,61.27,0,,0,,0,0,0,0,,,2.71,,,0,0,0,0,0,0
B. Williams,Ipswich Town,Ipswich Town,"RB, LB",23,10000000,2024-06-30,15,909,2,0.38,0,0.37,17.33,56,England,England,right,180,63,yes,9.11,6.63,59.7,2.48,60,1.19,1.59,0.3,3.96,5.29,1.68,5,0.5,0,0,2.57,0.2,2,0.2,0.04,1,0.1,3,0.3,66.67,66.667,0,0.89,44.44,0.2,0,0.69,57.14,0,2.77,67.86,6.34,54.69,0.59,2.08,0.89,30.5,1.29,1.88,41.58,82.14,17.82,72.78,4.55,93.48,13.37,91.85,36.63,86.49,4.06,51.22,18.2,29.02,0.04,0.3,0,0,0.5,20,0.3,5.45,69.09,1.68,29.41,0.89,22.22,0.2,0.5,7.72,64.1,0,,0,,0,0,0,0,,,0.79,,,0,0,0,0,0,0
E. Laird,Birmingham City,Birmingham City,RB,22,8000000,2024-06-30,8,535,0,0,0,0.81,31.46,61.5,England,"England, Jamaica",right,177,70,no,15.31,11.44,70.59,3.87,65.22,1.51,1.86,0.34,5.72,7.03,0.84,1,0.17,0,0,5.21,0,0,0,0,0,0,1,0.17,0,0,0,2.19,38.46,0,0,2.19,38.46,0,7.07,59.52,12.62,52,2.36,4.21,1.68,17.33,2.36,2.52,29.27,73.56,10.93,64.62,5.72,88.24,6.22,83.78,25.74,79.08,1.35,25,18.79,22.97,0.14,1.51,0,0,0.34,50,0.67,3.7,68.18,1.85,54.55,0.5,33.33,1.35,0.84,6.56,71.79,0,,0,,0,0,0,0,,,0.34,,,0,0,0,0,0,0
L. O'Brien,Middlesbrough,Middlesbrough,"LB, LCMF, LW",25,8000000,2026-06-30,6,384,0,0.23,0,0.34,15.7,55.22,England,England,left,173,74,yes,7.27,7.03,46.67,0.7,33.33,0.23,0.31,0,3.75,4.9,1.41,0,0,0,0,2.58,0,0,0,0.06,0,0,4,0.94,50,0,0,0.47,100,0.23,100,0.23,100,0,1.64,100,6.09,61.54,0.47,2.11,0.23,37.5,0.23,2.34,45.7,93.33,10.55,84.44,10.55,100,15,96.88,44.3,93.65,0.94,75,14.68,11.89,0.08,0.7,0,0,0.47,0,0,2.81,75,1.41,66.67,0.47,0,0.7,0.47,4.45,68.42,0,,0,,0,0,0,0,,,1.17,,,0.47,0,0,2.58,0,0
J. Lewis,Watford,Watford,LB,26,8000000,2025-06-30,20,1637,0,0.42,1,1.65,18.42,48.36,England,"England, Northern Ireland",left,178,70,yes,8.91,8.14,69.59,1.48,29.63,0.05,0.07,0.16,3.19,3.99,0.71,3,0.16,0,0,2.53,0,0,0,0.02,0,0,10,0.55,50,0,0.05,2.8,41.18,2.8,41.18,0,0,0.16,2.31,45.24,5.94,29.63,1.76,1.92,0.66,30.68,1.26,0.22,41.51,81.32,14.24,71.81,8.47,96.75,9.9,82.22,36.84,87.31,2.14,30.77,16.54,36,0.09,0.77,0,0.16,0.11,50,0.27,3.41,67.74,1.98,50,0.33,16.67,0.49,1.04,5.88,66.36,0,,0,,0,0,0,0,,,0.49,,,0,0,0,0.16,0,0
S. Thomas,Huddersfield Town,Huddersfield Town,"RWB, CF, RAMF",25,6000000,2026-06-30,27,2491,2,1.53,6,10.38,17.49,43.6,England,"England, Wales",right,185,75,no,4.19,4.26,53.39,1.23,11.76,0.18,0.19,0.04,1.73,1.83,0.72,6,0.22,0,0,5.31,0.07,2,0.07,0.06,0,0,25,0.9,28,8,0.22,5.67,41.4,1.48,41.46,4.19,41.38,0.61,4.55,57.14,9.86,45.05,1.37,3.29,1.37,17.81,1.81,1.26,27.57,65.4,8.56,55.7,4.05,94.64,10.33,66.78,19.33,74.39,2.67,48.65,21.19,38.05,0.38,2.17,0.07,0.04,0.4,27.27,0.87,4.3,56.3,5.24,51.72,0.65,22.22,0.79,2.31,6.97,84.97,0,,0,,0,0,0,0,,,0,,,2.64,0.11,66.67,3.5,0,0
