Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
C. Adams,Southampton,Southampton,CF,27,22000000,2024-06-30,24,1372,8,6.93,2,1.39,13.97,40.85,England,"England, Scotland",right,175,70,no,3.15,2.95,57.78,2.03,29.03,0.2,0.34,0.26,1.25,2.14,1.31,4,0.26,0,0,2.49,0.52,8,0.52,0.45,0,0,35,2.3,45.71,22.857,0.13,0.33,40,0.07,100,0.2,33.33,0.13,1.57,62.5,7.08,37.96,3.67,0.33,0.13,16.07,1.44,1.18,20.01,76.07,5.25,57.5,4.85,87.84,6.36,83.51,18.89,77.43,0.79,58.33,14.99,18.75,0.09,0.79,0.07,0.07,0.92,35.71,0.39,2.62,67.5,1.18,61.11,0.92,35.71,1.31,0.2,2.1,68.75,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
G. Rutter,Leeds United,Leeds United,"CF, AMF",21,22000000,2028-06-30,28,2552,5,8.74,8,6.36,31.88,40.04,France,"France, Martinique",left,182,83,no,4.87,4.62,54.2,2.82,40,0.18,0.25,0.07,2.19,3.07,1.45,5,0.18,0,0,6.03,0.18,5,0.18,0.31,0,0,71,2.5,38.03,7.042,0.28,1.06,30,0.78,27.27,0.28,37.5,0.18,7.79,52.94,19.75,38.75,4.2,1.8,0.56,13.51,0.88,2.29,20.45,70.69,7.12,64.36,3.39,88.54,6.07,69.77,18.2,74.22,1.27,52.78,16.73,27.89,0.22,1.3,0.11,0.04,1.23,51.43,1.13,3,61.18,2.89,53.66,1.09,48.39,2.08,0.32,2.96,92.86,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
P. Daka,Leicester City,Leicester City,CF,25,20000000,2026-06-30,7,476,4,3.59,2,0.22,17.21,34.07,Zambia,Zambia,right,183,71,no,3.4,3.78,60,1.89,40,0,0,0,1.13,1.84,0.76,0,0,0,0,1.51,0.76,3,0.57,0.68,0,0,11,2.08,63.64,36.364,0.38,0.19,0,0.19,0,0,0,0,0.76,25,7.37,23.08,4.73,0.76,0,19.29,0,1.51,21.74,80,3.03,68.75,8.32,86.36,5.11,74.07,21.55,80.7,0,0,13.2,0,0.04,0.38,0.19,0.19,0.19,0,0.38,1.13,83.33,0.76,100,0.19,0,0.76,0,1.32,42.86,0,,0,,0,0,0,0,,,0.76,,,0,0,0,0,1,100
K. Iheanacho,Leicester City,Leicester City,CF,27,17000000,2024-06-30,19,955,5,5.25,1,1.52,20.73,25,Nigeria,Nigeria,left,185,82,no,2.64,2.92,54.84,1.51,12.5,0,0,0,1.04,1.62,1.13,1,0.09,0,0,2.26,0.47,3,0.28,0.49,0,0,29,2.73,31.03,17.241,0.09,0.38,50,0.38,50,0,0,0.09,3.39,30.56,13.38,23.24,3.49,1.04,0.28,25.54,1.7,1.04,31.1,85.45,4.52,66.67,11.12,96.61,7.54,82.5,30.25,86.29,0.57,50,14.45,13.21,0.14,1.13,0,0,0.47,40,0.57,2.07,77.27,1.7,44.44,0.47,40,1.04,0.19,1.7,72.22,0,,0,,0,0,0,0,,,0.85,,,0.09,0.09,0,0.09,2,100
S. Mara,Southampton,Southampton,"CF, RWF, AMF",21,12000000,2026-06-30,16,387,2,1.98,1,0.21,27.21,43.59,France,"France, Senegal",right,183,70,no,7.21,6.98,83.33,3.72,56.25,0.47,0.97,0.23,0.93,1.94,1.4,1,0.23,0,0,3.26,0.47,2,0.47,0.46,0,0,12,2.79,50,16.667,0.23,0.47,50,0.23,0,0.23,100,0,4.19,38.89,14.19,26.23,4.42,1.86,0.93,13.95,0.7,1.63,18.37,82.28,3.49,73.33,5.12,90.91,5.35,82.61,17.44,85.33,0.7,0,14.87,5.89,0.05,0.47,0.23,0,0,0,0.23,1.4,66.67,0.47,100,0,0,0.93,0.23,2.09,55.56,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
A. Armstrong,Southampton,Southampton,"CF, RWF",26,12000000,2025-06-30,28,2610,14,13.42,8,4.47,11.52,41.92,England,England,right,172,69,no,2.93,2.86,51.81,0.97,64.29,0.24,0.41,0.1,1.21,2.03,0.83,5,0.17,0,0,3.14,0.48,12,0.41,0.46,2,0.07,74,2.55,45.95,18.919,0.28,2.03,32.2,0.48,28.57,1.38,27.5,0.17,2.52,50.68,5.9,39.18,5.66,1.28,0.72,20.07,1.31,0.66,24.1,81.97,4.41,65.63,8.24,96.23,6.07,78.41,21.28,88.49,0.86,32,16.12,18.76,0.15,1.14,0,0,0.24,14.29,0.72,1.55,64.44,2.03,55.93,0.41,25,1.28,0.69,2.21,78.13,0,,0,,0,0,0,0,,,0.17,,,0.07,0.03,100,0.1,2,100
J. Sargent,Norwich City,Norwich City,CF,23,12000000,2025-06-30,9,574,5,3.27,0,1.06,16.46,40.95,United States,United States,right,185,79,no,3.14,2.04,76.92,2.51,50,0,0,0.31,1.57,1.84,0.47,1,0.16,0,0,2.2,0.78,5,0.78,0.51,3,0.47,16,2.51,56.25,31.25,0,0.63,0,0.63,0,0,0,0.16,1.88,33.33,6.9,27.27,2.35,1.57,1.41,9.88,0.78,1.1,14.58,82.8,2.98,78.95,5.02,87.5,3.61,91.3,13.8,86.36,0.16,100,16.4,4.28,0.17,0.94,0,0,0.31,50,0.47,0.78,80,1.25,75,0.31,50,1.25,0,1.41,66.67,0,,0,,0,0,0,0,,,0.16,,,0,0,0,0,0,0
P. Bamford,Leeds United,Leeds United,CF,30,10000000,2026-06-30,20,691,3,4.95,0,0.96,17.06,33.59,England,"England, Republic of Ireland",left,185,71,no,2.21,2.47,52.63,3.13,41.67,0.13,0.22,0,0.78,1.34,1.3,1,0.13,0,0,3.13,0.39,3,0.39,0.64,2,0.26,28,3.65,42.86,10.714,0,0.26,100,0.13,100,0.13,100,0,1.82,71.43,6.38,30.61,5.73,0.65,0,11.59,1.04,0.78,14.98,78.26,3.39,69.23,3.26,96,3,86.96,14.46,78.38,0.26,50,10.45,4.23,0.13,0.78,0.13,0,0.13,0,0.52,0.65,80,0.91,57.14,0.13,100,1.69,0.26,1.95,53.33,0,,0,,0,0,0,0,,,0,,,0.13,0.13,0,0,1,0
J. Gelhardt,Leeds United,Leeds United,"CF, AMF",21,8000000,2027-06-30,6,202,0,0.59,0,0.08,22.28,36,England,England,left,179,76,no,5.35,4.9,63.64,2.67,16.67,0.89,1.54,0,1.34,2.31,1.34,1,0.45,0,0,1.78,0,0,0,0.26,0,0,3,1.34,33.33,0,0,0,0,0,0,0,0,0,2.67,50,8.47,42.11,2.23,0.45,0,16.93,0.89,1.78,21.39,81.25,5.35,58.33,6.24,100,4.46,90,19.6,84.09,1.78,50,13.11,15.92,0.03,0.45,0,0,0.45,0,0.45,2.67,83.33,1.78,25,0.45,0,0.45,0,1.78,75,0,,0,,0,0,0,0,,,0.89,,,0.45,0.45,0,0,0,0
D. Dike,West Bromwich Albion,West Bromwich Albion,CF,23,7000000,2026-06-30,2,47,0,0.76,0,0,21.06,54.55,United States,"United States, Nigeria",right,188,100,no,3.83,1.91,100,7.66,50,0,0,0,1.91,4.29,0,0,0,0,0,1.91,0,0,0,1.46,0,0,4,7.66,25,0,0,1.91,0,0,0,1.91,0,0,0,0,3.83,50,7.66,0,0,9.57,0,0,7.66,75,1.91,100,3.83,100,1.91,0,5.74,100,0,0,6.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
