Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Sinisterra,Bournemouth,Leeds United,"LW, AMF",24,22000000,2027-06-30,2,196,1,0.31,0,0.32,22.96,38,Colombia,Colombia,right,172,70,yes,4.13,5.51,33.33,2.76,50,0,0,0,2.3,3.41,1.38,0,0,0,0,4.59,0.46,1,0.46,0.14,0,0,5,2.3,80,20,0,0.46,100,0.46,100,0,0,0,5.97,38.46,11.94,34.62,1.84,3.21,0,36.28,0.46,0.46,44.08,93.75,7.81,76.47,11.48,96,12.4,96.3,41.33,93.33,2.3,100,14.73,46.17,0.15,1.38,0,0,0,0,0.46,2.76,66.67,1.38,100,0,0,1.84,0.46,1.84,100,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
K. Sulemana,Southampton,Southampton,"LWF, LW",21,22000000,2027-06-30,13,751,0,0.76,0,1.76,28.4,41.77,Ghana,Ghana,right,175,70,no,3.48,4.79,52.5,1.32,27.27,0.12,0.2,0,0.84,1.43,1.8,2,0.24,1,0.12,8.15,0,0,0,0.09,0,0,11,1.32,45.45,0,0,3.48,27.59,3,24,0.48,50,0.6,13.66,47.37,20.73,39.88,5.03,4.67,0.36,25.29,2.04,1.32,32.96,80.73,4.19,74.29,11.03,91.3,10.43,78.16,28.76,87.08,1.08,77.78,17.35,25.22,0.21,1.56,0,0,0.12,100,0.48,1.2,80,3.12,65.38,0,0,1.32,0.84,3.95,78.79,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
N. Tella,Bayer Leverkusen,Southampton,"RWF, RW",24,18000000,2025-06-30,3,305,1,1.66,0,0.06,27.44,46.24,England,"England, Nigeria",right,173,70,no,8.85,10.03,52.94,1.48,40,0,0,0,3.54,7.2,2.66,2,0.59,0,0,5.02,0.3,1,0.3,0.49,0,0,12,3.54,33.33,8.333,0,3.84,0,0.59,0,2.95,0,0.3,7.08,54.17,12.69,44.19,6.49,1.77,1.18,33.64,1.77,2.66,39.84,77.04,6.49,40.91,14.16,95.83,8.26,64.29,35.41,86.67,0.89,0,15.53,33.26,0.02,0.3,0,0,0,0,0,1.18,25,2.66,22.22,0,0,0.89,0.59,2.66,55.56,0,,0,,0,0,0,0,,,0.59,,,0,0,0,0,0,0
W. Gnonto,Leeds United,Leeds United,"RAMF, RW, LW",20,18000000,2027-06-30,21,829,1,1.5,0,0.38,24.54,43.36,Italy,"Italy, Côte d'Ivoire",right,170,71,no,5.43,5.32,59.18,0.76,0,0.22,0.35,0,2.06,3.35,1.85,1,0.11,0,0,6.3,0.11,1,0.11,0.16,0,0,17,1.85,23.53,5.882,0,3.15,27.59,1.63,13.33,1.52,42.86,0.43,8.14,60,15.63,46.53,3.58,4.56,0.87,30.18,1.74,2.71,38.21,81.82,6.62,67.21,9.88,97.8,14.22,82.44,33.33,87.62,1.85,64.71,16.78,20.57,0.04,0.43,0.11,0,0.43,25,0,2.28,76.19,3.91,55.56,0.33,33.33,1.19,0.87,4.02,89.19,0,,0,,0,0,0,0,,,0.43,,,0.22,0,0,0.65,0,0
D. James,Leeds United,Leeds United,"RAMF, LAMF",26,13000000,2026-06-30,27,2063,10,8.47,6,5.88,19.5,49.22,England,"England, Wales",right,180,76,no,5.24,4.67,65.42,1.88,39.53,0.04,0.06,0.09,2.14,3.06,0.44,4,0.17,0,0,6.41,0.44,10,0.44,0.37,2,0.09,61,2.66,37.7,16.393,0.26,5.45,32.8,1.27,41.38,4.14,30.53,0.87,6.02,58.7,10.73,45.93,3.75,3.49,1.22,21.2,1.18,1.4,29.14,72.01,7.37,68.05,5.37,91.06,9.64,66.52,22.07,83.99,2.01,43.48,18.15,29.91,0.26,1.57,0.04,0.04,0.17,50,0.52,3.23,60.81,4.71,53.7,0.48,36.36,1.48,1.7,5.15,88.98,0,,0,,0,0,0,0,,,0.04,,,0.48,0,0,1.96,0,0
J. Clarke,Sunderland,Sunderland,"LW, LAMF",23,12000000,2026-06-30,29,2814,13,11.02,4,8.27,27.99,50.29,England,England,right,181,74,no,5.15,5.76,55,1.5,29.79,0.19,0.28,0,1.79,2.59,1.44,5,0.16,0,0,9.91,0.42,8,0.26,0.35,1,0.03,83,2.65,40.96,15.663,0.13,4,30.4,3.71,29.31,0.22,57.14,0.7,11.51,63.06,18.97,52.61,5.98,8.35,1.7,28.56,1.5,2.17,37.26,76.39,8.54,65.54,8.12,93.31,14.94,77.73,31.09,84.05,2.33,47.95,20.23,39.46,0.26,2.01,0.1,0.03,0.61,57.89,0.9,3.77,67.8,3.77,55.08,0.86,48.15,1.86,1.25,6.52,81.86,0,,0,,0,0,0,0,,,0.22,,,0.38,0.13,25,1.38,5,100
C. Summerville,Leeds United,Leeds United,LAMF,22,12000000,2026-06-30,26,2249,12,10.69,6,8.96,24.61,44.23,Netherlands,"Netherlands, Suriname",right,174,67,no,5.64,5.44,56.62,0.76,36.84,0.28,0.4,0.04,2.28,3.26,1.16,6,0.24,0,0,6.36,0.48,11,0.44,0.43,1,0.04,78,3.12,39.74,15.385,0.24,1,24,0.72,33.33,0.2,0,0.16,7.96,54.27,15.73,43,4.56,4.92,1.52,26.53,0.56,1.72,34.18,85.36,8,77,9.56,94.14,9.2,87.83,32.29,88.23,0.92,47.83,14.44,25.12,0.36,2.6,0.08,0.04,0.88,63.64,1.04,2.88,70.83,2.64,68.18,0.8,55,2.6,0.24,2.96,81.08,0,,0,,0,0,0,0,,,0.12,,,1.68,0.24,16.67,3.12,2,50
I. Chair,Queens Park Rangers,Queens Park Rangers,"LWF, LW, AMF",26,10000000,2025-06-30,27,2546,3,3.91,5,3.15,20.04,49.74,Belgium,"Belgium, Morocco",right,158,53,no,5.13,4.88,60.87,0.71,25,0,0,0.04,2.16,2.69,0.85,6,0.21,0,0,7.35,0.11,3,0.11,0.14,0,0,67,2.37,37.31,4.478,0.18,3.39,33.33,2.65,36,0.71,20,0.57,9.19,56.15,13.54,47.52,2.65,4.42,1.48,26.83,0.78,0.88,38.28,81.16,9.69,68.98,12.12,95.34,10.6,75,31.6,88.93,3.43,55.67,18.88,42.58,0.11,1.06,0.07,0,0.49,35.71,0.53,5.16,63.7,3.46,47.96,0.74,28.57,1.17,1.13,6.04,81.87,0,,0,,0,0,0,0,,,0.11,,,1.56,0.18,20,1.52,0,0
R. Fraser,Southampton,Southampton,"LWF, CF, RWF",29,8000000,2025-06-30,24,1130,5,3.89,3,5.11,12.9,50.62,Scotland,Scotland,right,163,70,yes,3.11,2.71,44.12,1.35,35.29,0.4,0.68,0.16,1.51,2.57,0.64,3,0.24,0,0,6.21,0.4,5,0.4,0.31,0,0,31,2.47,41.94,16.129,0.24,5.73,33.33,5.26,31.82,0.48,50,1.27,4.46,71.43,7.49,58.51,6.13,1.35,1.04,31.06,2.23,1.35,36.8,80.52,5.1,78.13,12.19,94.12,11.71,72.79,30.27,90.26,0.96,41.67,17.71,16.32,0.41,1.83,0.32,0.08,0.16,50,0.8,1.19,86.67,3.82,56.25,0.08,100,1.59,1.99,4.38,83.64,0,,0,,0,0,0,0,,,0.16,,,0.08,0,0,1.43,0,0
S. Mavididi,Leicester City,Leicester City,"LWF, LAMF, LW",25,8000000,2024-06-30,28,2407,9,5.94,3,5.05,22.47,46.42,England,"England, Congo DR",right,182,71,no,5.65,5.65,62.91,0.75,35,0.07,0.11,0.04,2.02,3.1,0.56,4,0.15,0,0,6.39,0.34,8,0.3,0.22,0,0,54,2.02,37.04,16.667,0.11,2.99,37.5,2.99,37.5,0,0,0.41,7.63,56.37,13.61,42.31,5.2,4.37,1.12,27.18,2.84,1.16,33.54,82.27,6.06,77.16,11.14,94.97,9.46,74.31,29.73,87.3,0.97,57.69,16.99,22.24,0.19,1.53,0,0.07,0.45,50,0.67,1.65,79.55,3.22,62.79,0.34,55.56,2.17,1.12,5.05,87.41,0,,0,,0,0,0,0,,,0,,,0.07,0.07,50,1.16,1,100
