Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
C. Styles,Barnsley,Barnsley,"LCMF, LWB, AMF",23,3500000,2025-06-30,20,1574,3,2.59,1,0.99,21.39,44.92,England,"England, Hungary",left,167,60,no,8.18,6.75,68.64,4.52,31.65,0.46,0.62,0.29,3.09,4.18,1.32,7,0.4,0,0,1.83,0.17,3,0.17,0.15,1,0.06,26,1.49,30.77,11.538,0.06,0.63,9.09,0.63,9.09,0,0,0.17,2.17,52.63,6.35,37.84,1.83,1.2,0.23,23.21,0.91,0.86,32.02,83.21,8.12,61.97,9.03,95.57,7.26,84.25,29.16,88.63,2.23,33.33,15.37,31.89,0.06,0.51,0,0,0.29,60,0.17,3.6,57.14,1.14,25,0.63,45.45,0.4,0.11,4,67.14,0,,0,,0,0,0,0,,,0.06,,,0.11,0.06,0,0.06,0,0
C. Coventry,Charlton Athletic,Charlton Athletic,DMF,23,1800000,2024-06-30,3,178,0,0,0,0.68,20.22,55,England,"England, Republic of Ireland",right,177,65,no,11.63,9.1,72.22,2.02,75,1.01,1.67,0,4.04,6.67,1.52,1,0.51,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,2.02,50,1.52,33.33,0.51,100,0.51,0,0,4.55,44.44,0.51,0.51,0,56.12,0,0,77.36,89.54,24.78,79.59,8.09,100,34.38,94.12,66.74,93.94,8.6,64.71,19.41,42.95,0.35,2.53,0,0,0,0,0,13.15,76.92,4.04,50,1.01,50,0.51,1.01,12.13,87.5,0,,0,,0,0,0,0,,,1.01,,,2.02,0,0,2.53,0,0
R. Woods,Bristol Rovers,Bristol Rovers,"DMF, RCMF, RDMF",30,1500000,2025-06-30,12,706,0,0.01,0,0.02,14.92,41.88,England,England,right,173,70,yes,8.92,6.12,58.33,2.8,27.27,0.51,0.81,0.25,4.84,7.65,1.27,1,0.13,1,0.13,0.51,0,0,0,0,0,0,2,0.25,0,0,0,0.51,50,0.38,33.33,0,0,0,0.25,100,4.08,34.38,0,0.76,0,43.09,0,0.38,59.92,88.09,16.19,74.8,7.78,96.72,28.94,92.95,50.86,92.23,8.54,65.67,20.69,35.14,0,0.13,0.13,0,0.25,0,0,10.2,73.75,1.91,53.33,0.89,0,0.76,0.25,9.18,79.17,0,,0,,0,0,0,0,,,1.66,,,0,0,0,0,0,0
E. Embleton,Derby County,Derby County,LCMF,24,1200000,2025-06-30,1,64,0,0,0,0.41,9.84,28.57,England,England,right,173,66,yes,5.63,7.03,40,0,0,0,0,0,2.81,3.53,2.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0,0,1.41,0,21.09,0,0,28.13,80,8.44,50,8.44,100,9.84,85.71,23.91,88.24,4.22,33.33,19.84,33.41,0.58,1.41,0,0,0,0,0,2.81,50,1.41,0,1.41,0,0,0,2.81,50,0,,0,,0,0,0,0,,,1.41,,,0,0,0,4.22,0,0
M. Pack,Portsmouth,Portsmouth,"LDMF, RDMF",32,1200000,2024-06-30,22,2109,2,2.3,2,2.31,15.58,52.88,England,England,right,188,76,no,8.07,5.25,60.16,4.05,50.53,0.3,0.5,0.34,4.61,7.68,1.07,4,0.17,0,0,1.37,0.09,2,0.09,0.1,0,0,24,1.02,29.17,8.333,0.09,0.9,57.14,0.43,50,0.47,63.64,0.13,0.73,64.71,2.9,50,1.02,0.51,0,36.49,0.34,0.81,52.53,88.55,16.17,78.36,8.41,98.48,20.78,91.99,47.62,91.49,4.1,61.46,19.58,39.2,0.1,1.11,0.04,0.13,0.17,50,0.34,7.47,77.14,1.92,68.89,0.43,20,0.9,0.47,9.39,82.73,0,,0,,0,0,0,0,,,1.45,,,0.68,0.21,0,0.81,0,0
T. Carroll,Exeter City,Exeter City,"RCMF, LCMF, DMF",31,1000000,,26,2134,0,0.62,1,2.08,11.01,48.28,England,England,left,177,66,no,7.09,4.55,62.96,2.11,32,0.34,0.49,0.3,3.88,5.59,0.89,4,0.17,0,0,1.43,0,0,0,0.03,0,0,9,0.38,11.11,0,0.04,1.43,47.06,0.8,47.37,0.55,38.46,0.13,0.67,68.75,2.02,37.5,0.42,0.46,0.21,42.85,0.04,0.38,56.22,83.65,21.3,73.07,7.51,96.07,18.77,91.24,49.34,88.8,5.57,45.45,17.68,34.31,0.09,0.89,0,0,0.59,42.86,0.34,9.91,66.81,2.78,54.55,1.22,27.59,0.89,0.63,8.56,81.77,0,,0,,0,0,0,0,,,0.67,,,0.63,0.04,0,2.24,0,0
A. Morley,Bolton Wanderers,Bolton Wanderers,"RCMF, DMF",23,1000000,2025-06-30,22,1096,2,1.81,3,1.76,10.1,54.47,England,England,right,174,72,no,6.9,5.34,64.62,1.4,41.18,0,0,0.16,3.45,5.68,0.49,2,0.16,0,0,1.64,0.16,1,0.08,0.15,0,0,23,1.89,34.78,8.696,0.25,1.23,13.33,0.33,0,0.9,18.18,0.16,0.82,60,1.97,50,0.99,1.15,0,34.82,0.57,0.08,48.53,80.54,14.37,65.14,8.21,93,19.3,87.66,43.11,86.67,4.19,37.25,17.7,24.75,0.14,1.4,0.16,0,0.82,40,0.49,8.29,65.35,3.04,54.05,1.48,16.67,1.07,0.25,7.97,73.2,0,,0,,0,0,0,0,,,1.07,,,0.74,0.16,100,2.63,1,100
A. Devine,Plymouth Argyle,Port Vale,"LCMF, AMF, RCMF",19,900000,2027-06-30,20,1435,2,2.51,1,1,13.05,43.27,England,England,right,182,75,yes,5.52,4.33,53.62,1.44,26.09,0.13,0.18,0.06,3.07,4.51,0.82,3,0.19,0,0,3.26,0.13,1,0.06,0.16,0,0,30,1.88,40,6.667,0.06,2.26,33.33,0.56,22.22,1.69,37.04,0.38,2.63,61.9,5.58,42.7,1.94,1.82,1.63,26.91,1,0.69,40.77,84.46,10.91,79.89,8.97,93.71,14.43,84.78,35.37,89.72,3.32,62.26,19.66,24.04,0.06,1.13,0.06,0.06,0.5,25,0.38,6.02,80.21,1.82,72.41,0.31,60,0.94,0.69,6.46,83.5,0,,0,,0,0,0,0,,,1.76,,,0.56,0,0,0.63,1,100
H. Kane,Barnsley,Barnsley,"LCMF, DMF",25,900000,2024-06-30,26,2590,6,4.9,4,3.91,14.11,43.84,England,England,right,177,67,no,7.12,5.11,50.34,2.47,50.7,0.52,0.69,0.14,4.03,5.35,1.25,9,0.31,0,0,1.7,0.21,3,0.1,0.17,0,0,47,1.63,31.91,12.766,0.14,0.9,30.77,0.35,10,0.52,46.67,0.17,1.25,44.44,3.96,37.72,0.87,0.87,0.21,33.88,0.63,0.9,49.14,82.6,15.36,64.93,8.24,96.2,17.55,90.3,42.81,87.99,5.42,48.72,18.7,37.82,0.14,1.15,0.03,0.14,0.63,55.56,0.31,7.61,68.49,2.61,44,1.18,32.35,1.08,0.24,7.54,72.35,0,,0,,0,0,0,0,,,0.83,,,0.87,0.1,33.33,1.91,3,100
J. Fuchs,Peterborough United,Peterborough United,"LDMF, LCMF",26,900000,2024-06-30,2,28,0,0,0,0,,,Cameroon,"Cameroon, France",right,176,70,no,,,,,,,0,,,0,,0,,0,,,,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.05,0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,0
