Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
N. Powell,Stockport County,Stockport County,"AMF, RWF, DMF",29,900000,,10,606,1,1.86,0,0.7,25.1,50.3,England,England,right,183,66,no,7.87,5.94,80,5.79,41.03,0.45,0.7,0.3,2.67,4.22,1.49,1,0.15,0,0,3.12,0.15,1,0.15,0.28,1,0.15,16,2.38,25,6.25,0,2.38,31.25,0.89,50,1.49,20,0.3,2.97,50,8.91,36.67,2.38,2.08,1.04,25.54,1.49,2.23,38.32,70.93,15.45,61.54,5.94,95,10.54,70.42,32.82,75.11,3.12,57.14,16.16,24.41,0.1,0.89,0.15,0,0.45,66.67,0.74,6.53,63.64,5.2,51.43,1.34,55.56,2.08,0.74,8.91,81.67,0,,0,,0,0,0,0,,,0.3,,,0,0,0,0,0,0
S. Mallan,Salford City,Salford City,"AMF, DMF, LCMF",27,350000,2024-06-30,17,1527,0,1.5,2,2.46,10.61,40.56,Scotland,Scotland,right,178,69,no,4.77,4.83,51.22,0.88,6.67,0.47,0.68,0,1.83,2.63,0.94,3,0.18,0,0,1.71,0,0,0,0.09,0,0,31,1.83,35.48,0,0.12,1.47,36,0.35,50,1.12,31.58,0.47,0.94,50,3.12,33.96,0.53,0.47,0.18,30.71,0.47,0.53,43.2,86.08,9.61,71.78,10.55,97.77,16.27,88.41,37.72,90.94,4.01,58.82,19.6,38.43,0.14,0.94,0,0.06,0.12,50,0.24,4.72,72.5,1.89,46.88,0.18,33.33,0.35,0.71,5.72,67.01,0,,0,,0,0,0,0,,,1.71,,,1.06,0.35,66.67,1.77,0,0
D. Campbell,Barrow,Barrow,"LCMF, DMF",22,350000,,20,1684,2,2.18,0,2.46,12.61,50.42,Scotland,Scotland,left,181,71,no,7.21,5.4,61.39,1.23,39.13,0.43,0.52,0.05,3.47,4.21,0.53,1,0.05,0,0,1.82,0.11,0,0,0.12,0,0,16,0.86,31.25,12.5,0,1.39,30.77,1.12,33.33,0.16,33.33,0.16,1.12,61.9,3.37,49.21,0.69,0.86,0.48,31.43,0.48,0.96,48.58,85.7,16.35,74.51,8.5,98.11,17.69,91.24,42.27,90.39,4.92,60.87,21.16,37.1,0.13,1.18,0.05,0,0.69,61.54,0.27,8.82,74.55,2.62,57.14,1.12,42.86,0.91,0.48,8.55,83.13,0,,0,,0,0,0,0,,,1.98,,,1.92,0.11,50,1.28,2,100
D. Keillor-Dunn,Mansfield Town,Mansfield Town,"AMF, CF",26,350000,2025-06-30,19,1725,11,8.18,7,5.4,18.73,40.95,England,"England, Scotland",right,180,68,no,4.9,5.63,52.78,3.91,28,0.05,0.07,0,1.88,2.61,0.89,3,0.16,0,0,4.17,0.57,11,0.57,0.43,0,0,71,3.7,47.89,15.493,0.37,1.57,26.67,0.42,25,1.15,27.27,0.1,2.97,61.4,6.68,42.97,5.32,1.46,0.57,23.22,1.67,0.73,33.55,77.76,6.57,57.14,9.08,91.38,10.12,83.51,30,82.43,1.98,47.37,16.41,25.68,0.28,1.93,0.05,0.05,0.37,42.86,0.83,3.23,61.29,1.72,48.48,0.63,33.33,1.46,0.47,3.55,64.71,0,,0,,0,0,0,0,,,0,,,0.21,0,0,1.41,0,0
A. Gilbey,Milton Keynes Dons,Milton Keynes Dons,"RCMF, LCMF, AMF",28,350000,,19,1924,3,2.8,3,1.4,18.66,46.12,England,England,right,183,73,no,8,5.99,61.72,3.56,46.05,0.33,0.44,0.14,3.98,5.3,1.22,4,0.19,0,0,2.1,0.14,3,0.14,0.13,0,0,32,1.5,34.38,9.375,0.14,1.54,33.33,0.42,33.33,1.08,30.43,0.56,2.1,51.11,6.03,35.66,1.78,1.87,0.98,22.59,1.08,0.89,33.91,76.55,11.13,60.08,7.06,96.69,10.29,79.55,29.05,82.93,3.41,41.1,18.09,34.34,0.07,0.8,0,0.05,0.09,0,0.42,6.5,61.87,2.15,36.96,0.51,36.36,0.56,0.51,5.19,66.67,0,,0,,0,0,0,0,,,0.28,,,0.33,0,0,0.37,0,0
J. Payne,Milton Keynes Dons,Milton Keynes Dons,"RCMF, AMF",29,350000,2024-06-30,14,1045,2,1.68,2,1.79,19.03,44.34,England,England,left,165,60,yes,6.03,5.68,62.12,1.12,23.08,0.09,0.12,0.09,2.41,3.46,0.95,1,0.09,0,0,3.1,0.17,2,0.17,0.14,0,0,20,1.72,30,10,0.17,2.41,60.71,1.81,66.67,0.52,33.33,0.34,1.98,47.83,8.87,42.72,1.38,1.81,0.34,35.31,0.52,1.46,47.54,86.59,12.14,75.18,8.01,95.7,18.6,92.59,43.06,90,2.07,45.83,17.58,26.56,0.15,1.46,0,0,0.52,33.33,0.6,5.17,73.33,2.84,63.64,0.86,40,0.6,1.46,7.41,80.23,0,,0,,0,0,0,0,,,0.17,,,0.69,0.17,50,2.24,0,0
J. Walker,Bradford City,Bradford City,"AMF, LCMF, CF",30,350000,2024-06-30,17,1506,4,3.21,2,4.27,22.77,44.62,Scotland,Scotland,right,175,70,no,8.31,7.41,57.26,3.35,35.71,0.84,1.19,0.24,3.23,4.6,2.15,6,0.36,0,0,3.88,0.24,4,0.24,0.19,1,0.06,38,2.27,34.21,10.526,0.12,2.63,29.55,1.02,41.18,1.61,22.22,0.6,2.99,68,8.31,44.6,2.93,2.21,0.36,19.42,1.67,1.2,31.25,80.5,8.25,73.19,7.41,95.16,9.62,77.02,26.83,86.86,1.91,59.38,17.12,26.12,0.26,1.43,0.06,0.06,0.48,62.5,0.66,4,71.64,2.63,54.55,0.36,66.67,1.02,0.84,4.12,72.46,0,,0,,0,0,0,0,,,0.66,,,0.42,0.06,0,2.51,0,0
R. Tierney,Walsall,Walsall,"AMF, LCMF",22,350000,2025-05-31,13,944,0,0.43,2,2.44,21.17,43.24,Republic of Ireland,Republic of Ireland,right,174,65,yes,8.01,6.39,65.67,3.53,24.32,0.29,0.32,0.1,3.53,4.01,0.76,2,0.19,0,0,2.1,0,0,0,0.04,0,0,6,0.57,33.33,0,0.19,1.72,33.33,0.76,50,0.76,25,0.29,2.29,50,7.72,34.57,1.43,1.33,0.67,11.15,1.43,1.62,20.88,73.97,5.82,49.18,5.53,96.55,6.77,77.46,16.97,83.15,2.19,34.78,18.53,27.67,0.23,1.33,0,0,0.38,50,0.48,2.76,48.28,2.19,30.43,0.67,14.29,0.76,0.67,3.24,67.65,0,,0,,0,0,0,0,,,0.67,,,0.57,0,0,1.91,0,0
M. Jay,Colchester United,Colchester United,"LCMF, AMF",27,350000,2025-06-30,5,219,0,0.07,0,0.27,8.63,66.67,England,England,right,178,69,no,4.93,4.93,83.33,0,0,0.41,0.64,0,0.41,0.64,0,0,0,0,0,2.47,0,0,0,0.03,0,0,2,0.82,0,0,0,1.64,50,0.82,0,0.82,100,0.41,1.64,75,3.29,50,1.23,1.64,0.41,25.07,1.23,0.82,32.47,78.48,11.51,60.71,6.99,88.24,8.22,85,28.36,79.71,2.88,85.71,17.17,20.09,0.11,1.23,0,0,1.23,33.33,0.41,4.52,63.64,2.88,42.86,1.23,33.33,0.41,0.82,6.99,70.59,0,,0,,0,0,0,0,,,0,,,0,0,0,1.64,0,0
T. Leigh,Accrington Stanley,Accrington Stanley,"AMF, RDMF",23,350000,2024-06-30,19,1564,5,5.42,2,2.58,19.91,37.86,England,England,right,185,75,no,8.34,5.12,53.93,5.52,30.21,0.46,0.68,0.17,5.12,7.56,1.44,5,0.29,0,0,2.59,0.29,2,0.12,0.31,0,0,34,1.96,32.35,14.706,0.12,2.59,35.56,1.38,33.33,1.21,38.1,0.52,1.55,51.85,5.12,29.21,1.38,0.81,0.23,22.15,2.36,0.46,36.6,70.75,13.06,55.07,7.02,91.8,11.62,73.76,27.68,77.55,6.56,55.26,21.71,41.21,0.15,1.27,0,0.06,0.4,57.14,0.46,7.77,59.26,3.28,49.12,0.81,42.86,0.75,1.04,7.65,70.68,0,,0,,0,0,0,0,,,0.63,,,0.86,0.29,20,0.17,4,75
