Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
R. Welch,Forest Green Rovers,Forest Green Rovers,"LCB, RCB",20,500000,2026-06-30,17,1319,0,0.48,1,0.01,17.67,59.46,England,"England, Jamaica",right,196,94,yes,11.05,7.51,70.91,5.12,56,0.34,0.46,0.82,5.39,7.25,0.68,3,0.2,0,0,0.61,0,0,0,0.03,0,0,2,0.14,100,0,0.07,0.07,100,0.07,100,0,0,0.07,0.48,85.71,2.25,51.52,0.27,0.2,0,27.02,0.14,0.48,43.26,84.23,20.61,73.18,2.12,96.77,15.35,96.44,36.37,90.43,6.82,51,19.59,34.37,0,0.07,0,0.07,0,0,0.07,5.53,60.49,0.41,0,0.2,66.67,0.07,0.07,9.28,63.97,0,,0,,0,0,0,0,,,1.43,,,0.07,0,0,0,0,0
J. Tucker,Milton Keynes Dons,Milton Keynes Dons,CB,24,450000,,12,1141,0,0.48,0,0.12,17.12,66.82,England,England,right,192,85,no,11.91,7.41,75.53,5.05,67.19,0.32,0.37,0.39,5.99,7.08,0.39,0,0,0,0,0.16,0,0,0,0.04,0,0,3,0.24,33.33,0,0,0.08,0,0.08,0,0,0,0,0.24,33.33,1.5,31.58,0.39,0,0.08,30.45,0,0.63,53.01,77.83,26.11,61.03,2.05,96.15,21.77,94.93,37.94,88.77,14.99,50.53,28.18,44.26,0.01,0.08,0,0,0,0,0.08,8.28,46.67,0.95,8.33,1.5,31.58,0.16,0,13.8,62.29,0,,0,,0,0,0,0,,,1.5,,,0.08,0,0,0,0,0
A. Flint,Mansfield Town,Mansfield Town,"RCB, LCB",34,450000,,28,2669,2,4.51,0,1.79,18.55,66,England,England,right,197,83,no,8.3,4.45,75.76,8.8,65.9,0.24,0.32,1.05,4.69,6.33,0.54,1,0.03,0,0,0.71,0.07,2,0.07,0.15,0,0,27,0.91,29.63,7.407,0,0.74,31.82,0.07,50,0.64,26.32,0.1,0.27,62.5,0.98,55.17,1.58,1.08,0.07,30.96,0.67,0.81,48.42,79.18,24.72,67.94,2.23,98.48,18.45,92.32,37.16,86.93,10.62,54.92,26.73,46.87,0.06,0.37,0,0,0.13,25,0.17,10.08,57.19,1.92,22.81,0.81,16.67,0.51,0.2,12.61,77.01,0,,0,,0,0,0,0,,,1.82,,,0,0,0,0,0,0
A. Stewart,Milton Keynes Dons,Milton Keynes Dons,"CB, RCB",31,400000,2024-05-31,4,347,0,0.1,0,0,27.49,59.43,England,"England, Jamaica",right,183,76,yes,14.78,7.26,75,12.19,53.19,0.52,0.85,0.78,8.82,14.37,0.26,1,0.26,0,0,0.26,0,0,0,0.03,0,0,1,0.26,100,0,0,0,0,0,0,0,0,0,0.26,0,1.3,20,0.52,0,0,23.08,0,0.78,43.05,77.11,17.9,55.07,0.78,66.67,23.08,95.51,36.31,84.29,6.74,38.46,22.9,34.78,0,0,0,0,0,0,0,4.93,52.63,0,0,0,0,0,0,10.12,53.85,0,,0,,0,0,0,0,,,0.26,,,0,0,0,0,0,0
C. McCarthy,Swindon Town,Swindon Town,RCB,25,400000,2025-06-30,1,101,0,0,0,0,22.28,68,Republic of Ireland,Republic of Ireland,right,193,85,yes,10.69,8.02,77.78,8.02,66.67,0.89,1.25,0.89,3.56,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67,66.67,0,0,0,10.69,0,0.89,39.21,72.73,21.39,62.5,1.78,100,10.69,91.67,32.08,75,7.13,62.5,20.11,34.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.26,43.75,0,,0,,0,0,0,0,,,0.89,,,0,0,0,0,0,0
J. Turnbull,Tranmere Rovers,Tranmere Rovers,LCB,29,400000,2024-06-30,24,2361,0,0.62,0,0.32,16.35,64.1,England,England,left,185,72,no,10.52,6.29,72.12,4.99,64.12,0.65,0.78,0.57,5.34,6.42,0.76,4,0.15,2,0.08,0.38,0,0,0,0.02,0,0,6,0.23,33.33,0,0,0.3,25,0.3,25,0,0,0.04,0.38,50,1.64,39.53,0.8,0.61,0.08,17.95,0.15,0.3,33.58,82.07,16.28,72.6,2.67,94.29,10.71,93.24,27.75,89.15,5.53,49.66,21.63,39.94,0.01,0.19,0.04,0,0.08,50,0.11,4.84,57.48,0.99,30.77,0.38,30,0.27,0.15,7.81,68.78,0,,0,,0,0,0,0,,,1.6,,,0,0,0,0,0,0
A. Taylor,Bradford City,Bradford City,"CB, RCB",33,375000,,12,984,0,0.18,1,0.33,18.38,58.71,England,"England, Wales",right,193,76,no,9.24,3.48,60.53,11.07,61.16,0.18,0.25,0.37,6.95,9.62,1.01,3,0.27,1,0.09,0.46,0,0,0,0.02,0,0,2,0.18,50,0,0.09,0.37,50,0,0,0.37,50,0,0.18,100,0.64,42.86,0.82,0.18,0,16.19,0.18,0.55,36.95,73.27,20.03,58.45,2.38,88.46,12.26,91.79,26.34,82.99,10.24,49.11,24.06,38.49,0.03,0.09,0,0,0,0,0.18,7.13,46.15,0.64,28.57,0.55,50,0.37,0.18,9.7,62.26,0,,0,,0,0,0,0,,,1.83,,,0,0,0,0,0,0
L. Offord,Crewe Alexandra,Crewe Alexandra,RCB,24,350000,2024-06-30,27,2729,1,0.37,0,0.88,18.53,62.28,England,England,right,182,80,no,11.08,8.08,71.02,4.35,58.33,0.3,0.39,0.53,5.05,6.7,0.86,4,0.13,1,0.03,0.53,0.03,1,0.03,0.01,0,0,3,0.1,66.67,33.333,0,0.4,16.67,0.03,100,0.36,9.09,0.16,0.4,91.67,2.54,50.65,0.13,0.92,0.16,26.94,0.4,0.69,43.66,81.34,19.26,66.61,4.02,96.72,16.03,93.42,34.36,90.6,8.9,48.52,22.23,39.54,0.03,0.13,0.07,0,0.03,100,0,7.82,59.07,1.19,33.33,0.63,15.79,0.33,0.1,9.27,66.19,0,,0,,0,0,0,0,,,1.42,,,0.03,0,0,0,0,0
C. Stokes,Morecambe,Morecambe,"LCB, RCB",32,350000,,9,534,0,0.25,0,0.55,14.49,51.16,England,England,left,185,83,no,7.58,3.88,69.57,7.75,47.83,0.17,0.21,1.01,4.72,5.79,0.17,1,0.17,0,0,1.01,0,0,0,0.04,0,0,2,0.34,50,0,0,1.01,66.67,0.84,80,0.17,0,0,0.34,0,0.51,0,0.67,0,0,22.25,0.34,0.17,37.42,86.49,18.37,79.82,1.35,100,15.51,93.48,30.84,90.16,5.56,69.7,20.53,21.7,0.09,0.34,0,0,0.17,100,0.17,5.39,81.25,0.84,40,0.34,50,0,0.67,7.92,72.34,0,,0,,0,0,0,0,,,0.67,,,0,0,0,0,0,0
J. Bedeau,Morecambe,Morecambe,"LCB, LB",24,350000,2024-06-30,26,2544,2,1.49,1,0.41,17.51,65.45,England,"England, Grenada",left,182,78,no,12.28,7.5,81.6,5.63,55.97,0.21,0.24,0.85,5.94,6.75,0.57,7,0.25,0,0,0.5,0.07,2,0.07,0.05,0,0,6,0.21,33.33,33.333,0.04,0.42,25,0.42,25,0,0,0,0.46,69.23,1.42,42.5,0.5,0.39,0.07,14.26,0.42,0.35,27.03,76.83,14.75,67.39,1.73,87.76,8.46,90.79,20.98,85.16,5.63,49.69,22.58,37.87,0.01,0.14,0,0,0,0,0.04,3.96,50,0.53,26.67,0.46,46.15,0.07,0.14,6.76,62.83,0,,0,,0,0,0,0,,,0.64,,,0,0,0,0,0,0
J. Connolly,Bristol Rovers,Morecambe,RCB,22,300000,2025-06-30,13,1112,2,1.25,0,0.25,18.13,54.91,England,"England, Wales",right,185,84,no,10.28,5.42,65.67,6.8,52.38,0,0,1.38,6.72,7.22,0.81,4,0.32,1,0.08,0.32,0.16,2,0.16,0.1,0,0,3,0.24,100,66.667,0,0,0,0,0,0,0,0,0.24,33.33,1.78,40.91,0.57,0.57,0.24,14,0.08,0.73,30.76,79.74,16.27,71.14,1.46,100,9.87,90.98,24.77,86.6,5.99,51.35,22.66,40.08,0.02,0.08,0,0,0,0,0.08,3.4,54.76,0.49,16.67,0.32,50,0.08,0,7.53,59.14,0,,0,,0,0,0,0,,,0.89,,,0,0,0,0,0,0
U. Godwin-Malife,Swindon Town,Swindon Town,RCB,23,300000,,27,2712,1,0.55,0,1.28,18.85,55.28,England,England,right,180,79,no,8,6.14,70.81,3.48,58.1,0.03,0.05,0.3,3.62,5.31,0.53,2,0.07,0,0,1.69,0.03,1,0.03,0.02,1,0.03,7,0.23,28.57,14.286,0,0.66,15,0,0,0.66,15,0.03,2.06,66.13,5.21,41.4,0.86,3.62,2.06,37.23,0.33,0.83,55.85,86.33,21.87,75.27,6.97,97.14,20.21,94.75,50.81,90.27,4.41,51.13,19.75,40.47,0.04,0.3,0.07,0,0.23,71.43,0.23,7.8,70.21,1.26,42.11,0.46,28.57,0.46,0.13,9.13,71.27,0,,0,,0,0,0,0,,,2.75,,,0,0,0,0.03,0,0
R. Inniss,Forest Green Rovers,Forest Green Rovers,RCB,28,300000,,22,2066,0,0.94,1,1.16,15.94,61.2,England,"England, Trinidad and Tobago",right,197,84,no,9.93,4.14,72.63,7.8,64.25,0.17,0.23,0.44,6.75,8.84,0.78,7,0.3,1,0.04,0.09,0,0,0,0.04,0,0,10,0.44,10,0,0.04,0.17,25,0.04,0,0.13,33.33,0,0.09,0,0.65,13.33,1.31,0.09,0,22.87,0.09,0.26,38.64,84.78,19.04,77.12,1.61,91.89,14.16,96.31,33.76,89.03,4.7,56.48,20.54,35.33,0.05,0.22,0,0,0,0,0.13,3.88,65.17,0.17,50,0.13,66.67,0.22,0.04,7.88,68.51,0,,0,,0,0,0,0,,,1.26,,,0,0,0,0,0,0
C. Tilt,Salford City,Salford City,"LCB, CB",32,300000,,28,2735,1,1.42,0,1.04,21.69,64.04,England,"England, Jamaica",left,189,75,no,9.87,6.61,75.62,5.27,65.63,0.36,0.52,0.79,4.51,6.47,1.09,5,0.16,1,0.03,1.09,0.03,1,0.03,0.05,0,0,12,0.39,33.33,8.333,0,0.26,50,0.2,50,0.03,100,0.07,1.25,65.79,4.94,48.67,0.56,0.72,0.2,26.69,0.23,1.45,42.02,86.3,17.14,74.47,2.4,98.63,18.86,95.64,35.54,92.59,6.22,51.85,22.6,40.9,0.03,0.3,0,0,0,0,0.13,5.03,65.36,0.56,52.94,0.23,57.14,0.36,0.13,7.73,66.81,0,,0,,0,0,0,0,,,1.81,,,0,0,0,0,0,0
F. Rawson,Morecambe,Morecambe,RCB,27,300000,2024-06-30,20,1546,1,1.69,1,0.51,20.2,60.23,England,England,right,193,73,no,11,5.88,75.25,10.07,53.76,0.06,0.07,0.99,6.52,7.64,0.93,4,0.23,1,0.06,0.23,0.06,1,0.06,0.1,1,0.06,8,0.47,37.5,12.5,0.06,0,0,0,0,0,0,0,0.06,100,0.64,36.36,0.76,0,0,10.83,0,0.29,25.61,82.5,11.18,69.79,1.98,97.06,9.78,93.45,22.59,86.08,3.03,55.77,20.22,27.33,0.03,0.06,0,0,0,0,0.06,1.75,53.33,0.06,0,0.12,0,0.06,0,5.06,62.07,0,,0,,0,0,0,0,,,1.63,,,0,0,0,0,0,0
