Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
F. Dabo,Forest Green Rovers,Forest Green Rovers,"RB, RWB, RW",28,900000,,19,1277,0,1.92,1,1.18,21.99,48.08,England,"England, Sierra Leone",right,181,76,no,9.51,8.32,61.86,3.17,46.67,0.35,0.49,0.28,4.02,5.59,1.34,4,0.28,0,0,2.96,0,0,0,0.14,0,0,11,0.78,18.18,0,0.07,2.96,35.71,0,0,2.96,35.71,0.35,3.17,51.11,7.4,36.19,1.34,1.83,0.28,24.53,0.7,0.35,36.16,75.44,12.69,61.67,4.23,95,11.77,83.83,29.25,85.3,4.23,31.67,19.95,36.07,0.08,0.56,0,0,0.35,40,0.49,5.57,64.56,2.82,42.5,0.78,36.36,0.78,0.85,7.4,68.57,0,,0,,0,0,0,0,,,0.56,,,0,0,0,0,0,0
S. Malone,Gillingham,Gillingham,"LB, LWB",32,700000,,26,2510,4,3.68,0,2.58,15.99,52.24,England,England,left,189,75,no,9.22,7.28,63.55,2.33,50.77,0.04,0.05,0.32,4.55,6.07,0.9,9,0.32,0,0,3.01,0.14,4,0.14,0.13,0,0,29,1.04,44.83,13.793,0,3.66,37.25,3.62,37.62,0,0,0.43,1.97,52.73,4.09,39.47,1.61,1.18,0.32,24.35,1.86,0.25,35.68,70.95,15.35,59.35,5.13,95.1,10.4,74.48,24.96,82.61,7.35,47.32,22.23,39.62,0.09,0.57,0,0,0.18,80,0.39,7.24,56.93,4.41,47.97,0.86,37.5,1,1.22,10.76,75.67,0,,0,,0,0,0,0,,,0.75,,,0.25,0,0,0.22,0,0
J. Tchamadeu,Colchester United,Colchester United,"RWB, RW",20,500000,2024-06-30,4,374,0,0.38,1,0.75,15.16,41.27,England,"England, Cameroon",right,180,72,no,5.05,4.09,52.94,2.17,33.33,0.24,0.34,0,2.65,3.75,0,2,0.48,0,0,3.13,0,0,0,0.09,0,0,3,0.72,33.33,0,0.24,2.89,33.33,0,0,2.89,33.33,0.96,2.65,72.73,7.22,33.33,2.41,1.68,0.24,18.29,1.68,0.24,26.95,72.32,7.46,51.61,5.78,95.83,7.7,75,22.86,78.95,1.2,40,16.88,26.82,0.18,0.72,0,0,0.24,0,0.72,1.68,71.43,2.65,72.73,0.72,66.67,1.2,1.2,4.81,55,0,,0,,0,0,0,0,,,0.72,,,0.24,0,0,0,0,0
J. McClean,Wrexham,Wrexham,"LB, LWB",34,500000,,20,1963,1,1.46,5,4.06,20.45,47.09,Northern Ireland,"Northern Ireland, Republic of Ireland",left,180,70,no,8.12,7.24,57.59,3.53,42.86,0.28,0.35,0.23,3.67,4.72,1.19,8,0.37,0,0,4.49,0.05,1,0.05,0.07,0,0,24,1.1,29.17,4.167,0.23,5.36,32.48,4.72,33.98,0.64,21.43,0.69,3.67,65,6.37,47.48,1.93,1.74,0.32,24.12,2.2,0.46,36.4,69.02,11.46,54.4,7.24,93.04,11.78,71.6,26.13,81.75,5.04,40.91,21.25,43.26,0.19,1.6,0.09,0.05,0.09,50,0.55,5.46,47.06,4.63,42.57,0.73,37.5,0.55,1.74,8.21,69.83,0,,0,,0,0,0,0,,,0.14,,,0.96,0,0,3.99,0,0
D. Oyegoke,Bradford City,Bradford City,"RWB, RDMF",21,500000,2024-06-30,14,672,0,0.02,0,0.25,20.49,45.75,England,"England, Nigeria",right,178,63,yes,8.17,5.49,63.41,4.42,48.48,0.54,0.81,0.27,4.15,6.28,1.74,2,0.27,1,0.13,2.68,0,0,0,0,0,0,1,0.13,0,0,0,1.74,38.46,0,0,1.74,38.46,0.13,5.09,39.47,8.04,31.67,0.94,2.68,0.94,24.64,1.61,1.07,35.36,78.41,10.71,67.5,6.83,94.12,12.72,81.05,30.13,85.33,4.02,40,20.95,30.29,0.03,0.54,0.13,0,0.27,0,0.13,4.29,65.63,1.61,25,0.4,0,0.13,0.4,6.29,65.96,0,,0,,0,0,0,0,,,0.54,,,0,0,0,0.13,0,0
D. John,Salford City,Salford City,"LB, LWB, RB",28,450000,2024-06-30,22,2000,0,0.26,1,2.6,12.42,49.64,Wales,Wales,left,178,0,yes,6.71,4.46,58.59,2.25,46,0.45,0.61,0.23,3.65,4.98,0.32,1,0.05,0,0,2.97,0,0,0,0.01,0,0,5,0.23,60,0,0.05,3.06,36.76,2.48,34.55,0.54,41.67,0.81,2.93,58.46,4.19,50.54,1.04,2.84,1.22,25.16,1.26,0.27,35.64,81.44,10.67,67.51,10.13,97.78,9.86,80.37,29.34,89.42,3.33,51.35,18.35,30.93,0.12,0.81,0.09,0,0.09,0,0.36,3.11,62.32,2.84,41.27,0.23,20,0.27,1.17,6.53,71.72,0,,0,,0,0,0,0,,,1.22,,,0.32,0,0,0.68,0,0
J. Richardson,Colchester United,Colchester United,"RB, RWB",23,400000,2025-05-31,13,500,0,0.51,0,0.37,20.7,49.57,England,England,right,184,75,yes,9.18,5.76,71.88,6.3,34.29,0,0,0.9,5.04,8.08,0.36,1,0.18,0,0,3.06,0,0,0,0.09,0,0,2,0.36,0,0,0,3.42,21.05,0.36,0,3.06,23.53,0.72,3.42,63.16,6.66,45.95,3.24,1.62,0.72,18.72,1.62,0.54,27.9,69.68,8.64,45.83,7.92,97.73,6.3,68.57,20.16,84.82,4.5,36,16.18,14.63,0.07,0.72,0,0,0.18,100,0.72,3.24,55.56,1.98,54.55,0.18,0,0.72,0.9,5.76,65.63,0,,0,,0,0,0,0,,,0.54,,,0,0,0,0,0,0
D. Harvie,Milton Keynes Dons,Milton Keynes Dons,"LWB, LCB",25,400000,2025-06-30,21,2004,3,1.73,0,2,20.16,52.34,Scotland,Scotland,left,180,65,no,10.24,7.99,59.55,4.54,46.53,0.36,0.51,0.45,5.12,7.29,1.17,6,0.27,1,0.04,1.98,0.13,3,0.13,0.08,0,0,22,0.99,27.27,13.636,0,1.98,47.73,1.98,47.73,0,0,0.22,1.17,57.69,3.95,50,1.17,2.65,0.76,38.85,1.48,1.39,50.75,79.82,19.13,64.32,6.96,94.19,17.51,88.46,41.05,87.64,7.9,47.16,20.17,38.77,0.09,0.76,0.04,0,0.18,50,0.27,7.41,60.61,2.74,52.46,0.9,35,0.76,0.9,11.54,71.21,0,,0,,0,0,0,0,,,0.67,,,0,0,0,0,0,0
J. Maxwell,Doncaster Rovers,Doncaster Rovers,"LWB, AMF, LB",22,400000,2024-06-30,6,372,0,0.42,1,0.51,24.44,46.53,England,"England, Scotland",left,179,68,no,9.19,7.02,51.72,5.08,28.57,0.73,1.13,0.48,4.84,7.5,1.21,1,0.24,0,0,5.32,0,0,0,0.1,0,0,7,1.69,28.57,0,0.24,3.15,46.15,3.15,46.15,0,0,0,5.32,63.64,9.92,58.54,3.15,2.9,0.24,22.26,1.21,2.18,35.08,68.28,14.03,55.17,7.26,86.67,7.98,81.82,30.24,71.2,1.94,50,18.81,31.02,0.12,1.69,0.24,0.24,0,0,0.97,4.11,52.94,2.66,63.64,0,0,0.97,1.45,8.23,64.71,0,,0,,0,0,0,0,,,0.48,,,0,0,0,0.48,0,0
C. McLennan,Salford City,Salford City,"RWB, RAMF, LAMF",24,375000,,15,890,0,0.28,1,0.87,21.94,45.16,Scotland,Scotland,right,181,69,no,6.88,5.36,60.38,2.53,44,0,0,0.3,3.64,5.35,1.11,1,0.1,0,0,4.15,0,0,0,0.03,0,0,4,0.4,50,0,0.1,4.04,27.5,0.61,16.67,3.34,30.3,0.51,5.36,52.83,11.93,40.68,1.01,1.62,0.3,16.28,2.83,1.01,24.27,73.75,4.55,55.56,7.18,94.37,8.7,73.26,18.2,87.22,2.02,45,19.37,18.96,0.09,0.81,0,0,0,0,0.4,1.62,56.25,3.24,37.5,0.1,0,0.4,1.01,3.44,61.76,0,,0,,0,0,0,0,,,0.3,,,0,0,0,0.3,0,0
J. Robson,Forest Green Rovers,Forest Green Rovers,"LB, LWB",26,350000,,28,2427,0,0.65,0,1.62,21.17,50.26,Scotland,Scotland,left,173,68,no,10.61,8.05,56.68,6.82,51.63,0.22,0.3,0.3,5.82,7.73,0.85,6,0.22,0,0,2,0,0,0,0.02,0,0,7,0.26,42.86,0,0,3.11,33.33,3.11,33.33,0,0,0.37,1.67,48.89,3.49,42.55,1.04,0.85,0.37,22.88,0.96,0.56,36.04,72.02,16.5,64.04,5.86,91.77,8.79,75.95,26.74,81.97,6.34,47.95,21.51,34.59,0.06,0.48,0,0,0.22,16.67,0.26,6.19,55.69,2.93,48.1,0.33,0,0.41,0.96,10.49,66.78,0,,0,,0,0,0,0,,,0.48,,,0.04,0,0,0.15,0,0
