Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Barry,Stockport County,Stockport County,"CF, AMF",20,1000000,2024-05-31,15,1245,9,5.49,2,1.8,19.73,39.93,England,"England, Republic of Ireland",right,174,65,yes,3.4,3.18,59.09,1.37,10.53,0.07,0.11,0.07,1.45,2.11,0.72,2,0.14,0,0,5.57,0.65,7,0.51,0.4,0,0,35,2.53,37.14,25.714,0.14,2.39,18.18,1.37,21.05,0.8,18.18,0.51,7.66,53.77,13.45,39.78,4.63,3.83,1.73,12.22,1.37,0.65,17.93,73.79,3.69,60.78,5.93,95.12,4.34,66.67,14.82,83.41,0.94,53.85,17.88,29.22,0.13,0.94,0,0,0.36,20,0.58,1.3,61.11,2.24,54.84,0.51,14.29,1.37,0.43,2.1,82.76,0,,0,,0,0,0,0,,,0,,,0,0,0,0.72,2,100
M. Bonne,Gillingham,Gillingham,CF,28,500000,,19,1201,3,5.21,1,0.6,35.22,35.53,England,"England, Zimbabwe",right,180,76,no,2.77,2.55,61.76,18.51,39.27,0.37,0.5,0.07,0.82,1.11,1.35,1,0.07,0,0,1.5,0.22,3,0.22,0.39,0,0,23,1.72,47.83,13.043,0.07,0.37,40,0.07,0,0.3,50,0,0.9,50,7.79,15.38,3.82,0.6,0.22,10.34,2.77,0.6,16.26,66.82,3.67,38.78,4.42,89.83,4.05,64.81,15.29,68.63,0.6,37.5,12.71,6.19,0.05,0.75,0,0,0.22,33.33,0.3,2.1,42.86,0.9,41.67,0.22,66.67,0.52,0.15,1.42,63.16,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
J. Leko,Milton Keynes Dons,Milton Keynes Dons,"CF, RWB",24,500000,,17,897,3,2.77,0,1.84,29.4,39.59,Congo DR,"Congo DR, England",right,182,75,no,2.61,2.91,58.62,2.71,22.22,0.1,0.14,0.3,0.8,1.12,0.7,0,0,0,0,8.03,0.3,3,0.3,0.28,0,0,24,2.41,25,12.5,0,3.11,32.26,0.3,0,2.81,35.71,0.7,9.43,68.09,19.77,42.64,4.01,2.21,0.6,12.54,1.71,1.51,21.67,79.63,2.71,77.78,6.92,89.86,8.03,73.75,18.16,87.85,0.8,37.5,15.52,12.29,0.18,1,0,0,0.1,0,0.6,1,100,2.51,48,0.2,0,1.2,1.1,2.21,86.36,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
A. O'Brien,Sutton United,Sutton United,"CF, AMF",30,450000,2024-06-30,17,1236,1,3.76,3,1.46,21.04,32.87,England,"England, Republic of Ireland",right,180,72,yes,3.42,3.42,53.19,4.81,34.85,0.15,0.19,0.15,1.46,1.85,0.87,1,0.07,0,0,1.82,0.07,1,0.07,0.27,0,0,25,1.82,24,4,0.22,0.95,23.08,0.36,20,0.58,25,0.07,2.69,40.54,9.47,26.15,3.79,1.02,0.36,11.5,1.38,0.29,19.44,79.03,3.93,68.52,5.32,87.67,5.46,77.33,18.06,82.66,0.51,42.86,15.16,15.66,0.11,0.87,0,0,0.22,33.33,0.58,1.53,71.43,1.17,37.5,0.15,0,1.02,0.22,1.31,72.22,0,,0,,0,0,0,0,,,0.07,,,0,0,0,0,0,0
Mohamed Eisa,Milton Keynes Dons,Milton Keynes Dons,CF,29,450000,2024-06-30,16,1110,5,4.61,0,1.7,18.24,32,Sudan,"Sudan, England",right,183,71,no,1.95,2.59,53.13,3.08,23.68,0,0,0.08,0.57,0.82,1.3,4,0.32,0,0,2.51,0.41,5,0.41,0.37,2,0.16,36,2.92,36.11,13.889,0,0.89,45.45,0.49,33.33,0.41,60,0.57,1.54,63.16,8.11,33,4.05,1.05,0.08,12,1.54,0.65,16.7,83.5,2.03,64,6.32,93.59,4.95,85.25,15.65,85.49,0.16,100,15.08,4.11,0.14,0.73,0.08,0,0.16,50,0.32,1.3,75,0.65,62.5,0.08,100,0.57,0.41,1.22,60,0,,0,,0,0,0,0,,,0,,,0.24,0.24,33.33,0,0,0
C. Hendry,Salford City,Salford City,"CF, AMF",25,400000,2024-06-30,7,575,3,1.58,0,0.1,23.01,44.22,England,"England, Scotland",right,178,70,no,7.2,5.63,63.89,4.54,27.59,0.63,0.94,0,2.97,4.49,1.41,3,0.47,0,0,4.38,0.47,3,0.47,0.25,0,0,18,2.82,38.89,16.667,0,0.78,60,0.47,66.67,0.31,50,0.16,4.23,66.67,8.92,47.37,3.44,1.1,0.31,16.43,2.19,1.1,25.2,74.53,5.79,48.65,7.04,86.67,6.73,83.72,23.01,76.19,1.72,63.64,16.17,29.85,0.02,0.47,0,0,0.47,0,0.31,2.19,64.29,1.25,37.5,0.16,0,0.78,0.16,1.72,63.64,0,,0,,0,0,0,0,,,0.16,,,0,0,0,0,0,0
M. Taylor,Forest Green Rovers,Forest Green Rovers,"CF, LWF",33,400000,,12,591,1,1.68,0,0.41,19.19,24.6,England,England,right,176,72,no,2.74,1.37,88.89,6.55,13.95,0,0,0.15,1.52,2.21,1.37,1,0.15,0,0,1.52,0.15,1,0.15,0.26,0,0,13,1.98,61.54,7.692,0,1.83,0,0.76,0,1.07,0,0.61,1.07,28.57,6.4,19.05,3.81,0.61,0.15,12.64,2.13,0.46,18.73,71.54,2.89,52.63,5.79,86.84,5.63,67.57,15.99,80.95,1.07,42.86,17.98,12.47,0.06,0.91,0.15,0.15,0.15,0,0.3,1.68,72.73,2.13,50,0.46,0,0.76,0,2.13,85.71,0,,0,,0,0,0,0,,,0,,,0.15,0,0,0.15,0,0
T. Deeney,Forest Green Rovers,Forest Green Rovers,CF,35,400000,,15,1264,4,5.02,1,0.67,23.35,43.29,England,"England, Jamaica",right,184,90,no,4.27,3.35,59.57,9.83,47.83,0.57,0.81,0,1.71,2.42,1.14,7,0.5,0,0,1.92,0.28,3,0.21,0.36,1,0.07,29,2.06,41.38,13.793,0.07,1.35,21.05,0.28,25,1.07,20,0.14,1.5,42.86,6.84,27.08,2.71,0.5,0,16.02,2.78,0.64,23,66.56,8.69,54.92,3.35,89.36,6.76,68.42,19.01,72.66,2.71,47.37,21.13,42.38,0.05,0.64,0.07,0,0.64,22.22,0.14,5.2,54.79,2.99,33.33,1.21,35.29,1.42,0.28,3.99,89.29,0,,0,,0,0,0,0,,,0,,,0.14,0,0,0.07,1,100
E. Harrison,Milton Keynes Dons,Milton Keynes Dons,CF,29,400000,,9,531,2,2.38,0,0.08,32.71,33.16,Wales,Wales,right,180,0,no,2.88,3.05,33.33,15.42,43.96,0.34,0.49,0,1.53,2.2,1.53,1,0.17,0,0,1.36,0.34,2,0.34,0.4,1,0.17,14,2.37,42.86,14.286,0,0,0,0,0,0,0,0,1.02,33.33,7.46,25,4.24,0.34,0,10.51,2.88,1.19,13.05,58.44,2.88,29.41,3.05,83.33,5.42,59.38,12.71,60,0.34,0,15.97,10.9,0.01,0.51,0,0,0,0,0.17,2.71,37.5,0.68,75,0.17,0,0.51,0,1.02,66.67,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
J. Wakeling,Peterborough United,Swindon Town,CF,22,300000,2024-06-30,2,69,0,0.2,0,0,31.3,29.17,England,England,right,178,76,no,10.43,6.52,100,9.13,0,1.3,2.14,0,2.61,4.29,0,0,0,0,0,0,0,0,0,0.26,0,0,1,1.3,0,0,0,0,0,0,0,0,0,0,1.3,0,11.74,22.22,1.3,0,0,9.13,1.3,2.61,13.04,80,2.61,100,5.22,100,1.3,0,11.74,88.89,1.3,0,16.04,17.69,0,0,0,0,0,0,0,0,0,1.3,100,0,0,1.3,0,1.3,100,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
