Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Bolton,Salford City,Salford City,"RW, RAMF, RWB",24,800000,2024-06-30,14,1401,0,0.78,3,2.75,20.36,43.22,England,England,right,174,72,no,7.32,5.65,48.86,2.96,36.96,0.71,1.03,0.13,3.85,5.64,1.09,3,0.19,0,0,4.75,0,0,0,0.05,0,0,11,0.71,27.27,0,0.19,4.63,40.28,0.06,100,4.56,39.44,1.03,4.5,58.57,7.9,43.09,1.8,2.38,1.22,22.42,2.57,0.77,30.45,70.89,7.07,56.36,7.19,92.86,11.5,70.95,24.22,79.05,1.8,39.29,18.63,28.52,0.18,1.54,0.06,0,0.26,25,0.77,1.8,53.57,4.11,50,0.19,0,0.77,1.73,5.4,67.86,0,,0,,0,0,0,0,,,0.45,,,0,0,0,0,0,0
D. Crowley,Notts County,Notts County,"RWF, AMF, RCMF",26,450000,,21,1816,8,4.02,5,3.81,15.26,44.48,England,"England, Republic of Ireland",right,174,68,no,4.86,4.86,56.12,0.59,25,0.05,0.09,0.1,2.08,3.61,0.89,3,0.15,0,0,5.06,0.4,8,0.4,0.2,3,0.15,18,0.89,55.56,44.444,0.25,4.51,36.26,0.15,0,4.36,37.5,0.89,3.32,68.66,8.08,41.72,3.12,3.42,0.79,34.1,0.45,0.64,44.8,83.96,13.18,78.95,11.05,95.52,12.94,77.01,38.76,91.3,1.73,40,17.37,32.26,0.19,1.49,0.05,0.05,1.34,48.15,0.94,5.01,79.21,6,46.28,1.14,39.13,2.03,1.69,6.1,85.37,0,,0,,0,0,0,0,,,0.3,,,0.05,0,0,0.3,0,0
T. Bloxham,Morecambe,Morecambe,"RAMF, RWF, RW",20,450000,2025-06-30,19,1546,0,0.93,2,2.68,23.34,44.64,England,England,right,195,82,yes,5.41,3.96,64.71,4.37,42.67,0.17,0.21,0.23,2.68,3.17,0.87,1,0.06,0,0,5.18,0,0,0,0.05,0,0,17,0.99,29.41,0,0.12,5.24,28.89,0.12,50,5.12,28.41,0.52,5.59,60.42,11.18,42.71,1.92,1.98,0.76,13.68,0.99,0.41,23.87,62.2,8.32,58.74,3.32,91.23,7.04,62.81,16.18,75.18,2.56,47.73,21.31,32.69,0.16,1.16,0,0.06,0.12,0,0.76,2.39,63.41,3.2,45.45,0.17,33.33,0.47,1.51,5.59,71.88,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
N. Holland,Forest Green Rovers,Forest Green Rovers,LW,25,400000,,3,143,0,0.16,0,0.16,18.88,26.67,England,"England, Barbados",right,176,70,no,3.78,1.26,50,0.63,0,0,0,0,3.15,4.29,0,0,0,0,0,4.41,0,0,0,0.1,0,0,4,2.52,25,0,0,0.63,100,0,0,0.63,100,0,6.92,45.45,13.22,28.57,3.15,1.26,0,13.85,1.89,0,27.69,86.36,8.81,71.43,8.81,92.86,5.66,88.89,27.06,86.05,0,0,16.84,0,0.1,0.63,0,0,1.26,0,0,3.15,40,3.15,80,1.26,0,3.15,0.63,6.29,90,0,,0,,0,0,0,0,,,0,,,0,0,0,0.63,0,0
C. McLennan,Salford City,Salford City,"RAMF, RWB, LW",24,375000,,11,683,0,0.17,1,0.48,22.53,45.03,Scotland,Scotland,right,181,69,no,7.25,5.14,61.54,2.24,41.18,0,0,0.4,4.08,6.12,1.05,1,0.13,0,0,3.95,0,0,0,0.02,0,0,3,0.4,33.33,0,0.13,3.56,29.63,0.79,16.67,2.77,33.33,0.26,5.4,51.22,12.78,41.24,1.05,1.32,0.26,14.89,2.5,1.19,23.98,75.27,4.48,61.76,6.98,96.23,8.7,75.76,18.18,87.68,2.24,47.06,19.41,23.77,0.06,0.92,0,0,0,0,0.4,1.58,58.33,3.03,39.13,0.13,0,0.53,1.05,3.56,62.96,0,,0,,0,0,0,0,,,0.4,,,0,0,0,0.4,0,0
O. Edwards,Colchester United,Colchester United,LW,22,350000,,1,23,0,0,0,0,,,England,"England, Ghana",right,173,68,no,,,,,,,0,,,30,,0,,0,,,,0,,,0,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.37,0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,0
J. Williams,Gillingham,Gillingham,"LAMF, LW",30,350000,,18,1106,0,0.75,1,1.93,16.27,39,England,"England, Wales",left,168,60,no,4.72,3.74,47.83,3.25,20,0.73,0.97,0.08,2.2,2.91,0.41,4,0.33,0,0,3.01,0,0,0,0.06,0,0,8,0.65,25,0,0.08,1.63,75,1.14,71.43,0.49,83.33,0.33,2.69,57.58,6.59,50.62,2.12,0.98,0.65,19.53,0.81,1.46,29.86,84.47,7.32,68.89,8.06,96.97,8.38,92.23,26.28,87.31,1.95,54.17,16.35,17.11,0.16,1.06,0.08,0,0.33,25,0.41,3.09,81.58,2.2,85.19,0.49,50,1.14,1.06,3.99,77.55,0,,0,,0,0,0,0,,,0.41,,,0.16,0,0,1.06,0,0
D. Sotona,Doncaster Rovers,Doncaster Rovers,"RW, RWB, LWB",20,300000,,6,271,1,0.43,0,0.57,32.88,39.39,Republic of Ireland,"Republic of Ireland, Nigeria",left,179,70,no,5.98,4.98,53.33,3.99,8.33,0,0,0.33,3.32,4.92,0.66,1,0.33,0,0,7.97,0.33,1,0.33,0.14,0,0,6,1.99,50,16.667,0,1.33,50,0,0,1.33,50,0.33,9.63,62.07,21.25,43.75,1.99,3.65,2.99,13.62,0.33,2.32,20.26,73.77,5.31,43.75,5.65,94.12,5.65,70.59,17.93,75.93,1,66.67,15.58,14.4,0.19,1.33,0,0,0.33,100,0.66,2.32,14.29,2.66,62.5,0,0,1,0.66,2.99,77.78,0,,0,,0,0,0,0,,,0.33,,,0.66,0,0,1,0,0
D. Bughail-Mellor,Sutton United,Sutton United,"LW, RWF, RW",23,300000,,5,75,0,0,0,0.15,18,40,England,England,right,187,81,yes,4.8,4.8,75,2.4,0,0,0,0,1.2,1.88,1.2,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,2.4,50,2.4,50,0,0,0,2.4,0,6,0,0,0,0,10.8,3.6,0,16.8,85.71,3.6,33.33,6,100,4.8,100,14.4,91.67,0,0,15.28,0,0.18,1.2,0,0,0,0,0,2.4,50,3.6,66.67,0,0,1.2,1.2,6,80,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
K. McAllister,Forest Green Rovers,Forest Green Rovers,"RW, AMF",24,300000,,18,1722,3,3.79,3,4.34,22.89,40.18,Scotland,Scotland,left,178,75,no,5.33,5.07,58.76,2.51,27.08,0,0,0,2.35,3.2,0.78,1,0.05,0,0,6.74,0.16,2,0.1,0.2,0,0,35,1.83,31.43,8.571,0.16,4.6,52.27,1.15,27.27,3.34,62.5,0.63,6.64,51.97,13.38,36.72,2.77,2.87,0.84,27.28,2.2,0.78,40.14,76.43,11.92,64.47,8.89,92.94,13.33,75.69,31.31,84.97,4.44,41.18,19.97,40.18,0.23,2.3,0,0.05,0.47,66.67,0.57,5.91,61.95,5.96,60.53,0.99,31.58,1.67,2.3,8.21,78.34,0,,0,,0,0,0,0,,,0.05,,,0.68,0.05,100,1.99,1,100
