Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
C. Nkunku,Chelsea,Chelsea,"AMF, CF, LCMF",26,80000000,2026-06-30,3,153,1,0.61,0,0.09,17.06,41.38,France,"France, Congo DR",right,177,73,no,2.35,2.94,60,2.35,75,0,0,0,0.59,0.94,1.76,0,0,0,0,2.35,0.59,1,0.59,0.36,1,0.59,4,2.35,50,25,0,1.18,0,0.59,0,0.59,0,0.59,2.94,20,7.65,38.46,5.29,1.18,0.59,23.53,0.59,1.18,26.47,91.11,5.88,90,7.65,92.31,5.88,80,24.71,95.24,0.59,100,12.5,17.92,0.05,0.59,0.59,0,1.18,50,0.59,1.76,100,2.94,80,1.18,50,2.94,0,1.76,100,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
M. Ødegaard,Arsenal,Arsenal,RCMF,25,80000000,2028-06-30,18,1775,4,3.56,3,3.07,16.23,41.25,Norway,Norway,left,178,68,no,4.31,5.12,51.49,0.35,14.29,0.46,0.7,0.05,1.22,1.88,0.81,1,0.05,0,0,3.35,0.2,2,0.1,0.18,0,0,40,2.03,37.5,10,0.15,0.91,50,0.1,50,0.81,50,0.15,3.14,46.77,8.11,37.5,3.25,1.52,0.46,37.42,0.46,0.86,47.05,88.25,14.6,79.51,9.08,94.97,15.57,93.16,44.47,90.42,1.67,51.52,15.91,28.96,0.16,1.88,0.05,0.1,1.52,43.33,0.71,4.61,80.22,4.66,64.13,1.57,35.48,2.94,0.41,5.37,84.91,0,,0,,0,0,0,0,,,0.51,,,0.91,0.05,0,0.76,2,100
K. De Bruyne,Manchester City,Manchester City,"AMF, RDMF",32,80000000,2025-06-30,2,49,1,0.22,1,1.05,20.2,54.55,Belgium,Belgium,right,181,75,no,5.51,5.51,66.67,3.67,100,0,0,0,1.84,4.29,5.51,0,0,0,0,9.18,1.84,1,1.84,0.4,0,0,3,5.51,33.33,33.333,1.84,16.53,33.33,3.67,50,12.86,28.57,3.67,3.67,50,9.18,40,3.67,1.84,0,60.61,3.67,0,60.61,69.7,14.69,75,5.51,100,33.06,61.11,42.24,82.61,5.51,33.33,21.61,24.77,1.94,5.51,1.84,1.84,3.67,0,7.35,7.35,75,18.37,60,3.67,50,7.35,5.51,12.86,85.71,0,,0,,0,0,0,0,,,0,,,3.67,1.84,0,7.35,0,0
Bruno Fernandes,Manchester United,Manchester United,"AMF, RAMF",29,75000000,2026-06-30,20,2031,3,4.8,3,5.93,16.4,47.57,Portugal,Portugal,right,179,69,no,7.49,6.65,56.67,1.24,50,0.62,0.82,0,3.1,4.1,1.15,7,0.31,0,0,3.37,0.13,2,0.09,0.21,0,0,50,2.22,34,6,0.13,3.68,25.3,1.46,30.3,1.99,20,0.49,1.91,51.16,5.05,41.23,1.99,1.06,0.44,35.1,1.77,0.8,47.28,77.13,16.71,70.56,6.91,91.67,15.33,80.06,37.18,85.94,6.51,55.1,20.33,36.66,0.26,1.91,0.13,0.13,1.68,42.11,0.89,7.44,73.81,5.94,56.72,2.3,34.62,2.22,0.93,9.62,78.8,0,,0,,0,0,0,0,,,0.84,,,0.89,0.31,28.57,3.5,2,50
K. Havertz,Arsenal,Arsenal,"LCMF, RCMF",24,60000000,2025-06-30,20,1394,4,3.81,1,1.68,20.66,43.75,Germany,Germany,left,193,84,no,5.36,4.84,53.33,5.75,38.2,0.26,0.4,0.06,2.52,3.89,1.55,5,0.32,0,0,1.55,0.26,3,0.19,0.25,1,0.06,23,1.48,21.74,17.391,0.06,0.77,16.67,0.65,20,0.13,0,0.06,1.68,53.85,5.62,47.13,3.94,0.9,0.9,20.85,1.1,1.48,28.28,87.21,6.2,78.13,7.49,93.97,7.36,85.96,26.79,89.88,0.71,63.64,13.45,7.58,0.11,0.58,0,0.06,0.52,37.5,0.45,3.16,79.59,1.1,70.59,0.19,33.33,1.1,0.13,2.07,84.38,0,,0,,0,0,0,0,,,0,,,0,0,0,0,1,100
J. Maddison,Tottenham Hotspur,Tottenham Hotspur,AMF,26,55000000,2024-06-30,11,968,3,2.78,4,3.61,17.94,48.19,England,England,right,175,73,no,4.09,4.18,57.78,0.46,0,0.19,0.33,0.09,1.49,2.65,0.84,2,0.19,0,0,5.39,0.28,3,0.28,0.26,0,0,26,2.42,46.15,11.538,0.37,2.32,24,1.58,23.53,0.65,14.29,0.37,4.56,57.14,10.79,47.41,3.72,2.51,0.65,38.86,0.93,2.79,43.79,83.86,12.92,73.38,6.69,94.44,15.81,85.29,38.68,89.66,2.88,54.84,17.71,39.06,0.34,2.79,0.19,0,1.95,57.14,0.65,6.32,75,5.49,52.54,2.6,39.29,2.88,0.37,6.97,93.33,0,,0,,0,0,0,0,,,0.46,,,1.58,0.09,0,3.9,0,0
S. Tonali,Newcastle United,Newcastle United,"RCMF, LCMF, DMF",23,50000000,2027-06-30,8,488,1,0.55,0,0.51,15.49,53.57,Italy,Italy,right,181,79,no,6.64,8.11,54.55,0.55,66.67,0,0,0,2.21,2.95,1.66,2,0.37,0,0,2.21,0.18,1,0.18,0.1,0,0,3,0.55,66.67,33.333,0,2.21,41.67,0.55,0,1.66,55.56,0.18,0.92,80,4.06,54.55,1.29,0.74,0.74,40.39,0.92,1.11,49.06,86.47,10.33,80.36,11.99,93.85,17.34,86.17,44.82,89.71,2.03,63.64,16.76,33.81,0.09,0.92,0.18,0,0.18,100,0.37,5.16,78.57,1.66,55.56,0.55,33.33,0.37,0.92,6.09,81.82,0,,0,,0,0,0,0,,,0.92,,,0,0,0,0.37,0,0
J. Álvarez,Manchester City,Manchester City,"AMF, CF",23,50000000,2028-06-30,20,1844,6,7.42,5,6.32,11.62,42.44,Argentina,Argentina,right,170,70,no,4.59,4.88,54,1.07,22.73,0,0,0.05,1.95,3.29,0.78,2,0.1,0,0,2.93,0.29,5,0.24,0.36,0,0,54,2.64,42.59,11.111,0.24,2.05,28.57,0.49,30,1.56,28.13,0.39,1.46,70,3.86,44.3,3.56,1.42,0.73,26.36,1.22,0.39,32.07,84.78,5.66,70.69,8.93,97.27,9.42,82.9,29.38,89.37,0.78,50,15.29,20.2,0.31,1.81,0.05,0.1,0.78,25,0.78,1.9,74.36,2.78,54.39,0.93,26.32,1.56,0.49,3.12,76.56,0,,0,,0,0,0,0,,,0.73,,,1.42,0.54,54.55,4.59,1,100
D. Szoboszlai,Liverpool,Liverpool,"RCMF, LCMF",23,40000000,2026-06-30,20,1783,2,2.19,2,3.73,16.96,50.89,Hungary,Hungary,right,186,74,no,7.92,7.92,59.24,1.46,41.38,0.05,0.08,0.1,3.18,5.07,1.11,1,0.05,0,0,2.98,0.1,2,0.1,0.11,0,0,37,1.87,24.32,5.405,0.1,2.22,31.82,0.45,55.56,1.72,26.47,0.25,2.42,68.75,5.25,47.12,1.72,2.57,0.91,39.52,1.01,1.06,51.99,86.31,11.91,73.31,12.87,97.25,17.36,86.05,46.74,90.39,3.08,62.3,16.82,34.61,0.19,1.31,0.05,0.05,0.56,27.27,0.4,4.54,75.56,3.33,46.97,0.81,37.5,1.46,0.61,6.16,72.13,0,,0,,0,0,0,0,,,0.71,,,0.56,0.15,0,1.67,0,0
E. Smith Rowe,Arsenal,Arsenal,"LCMF, RCMF",23,38000000,2026-06-30,7,181,0,0.93,0,0.05,12.93,34.62,England,England,right,182,72,no,4.48,4.48,44.44,2.49,60,0,0,0.5,2.49,4.29,0.99,0,0,0,0,1.99,0,0,0,0.46,0,0,5,2.49,80,0,0,0,0,0,0,0,0,0,0.5,0,2.98,0,2.98,0.99,0,29.83,0.5,0,38.29,94.81,11.93,95.83,10.94,95.45,9.94,100,37.79,94.74,0.5,100,14.25,5.18,0.02,0.5,0,0,0.5,0,0,5.97,100,2.49,100,0.5,0,0.99,0,3.48,100,0,,0,,0,0,0,0,,,0.5,,,0.5,0,0,0,0,0
