Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Rúben Dias,Manchester City,Manchester City,"RCB, LCB",26,75000000,2027-06-30,17,1572,0,1.02,0,0.13,9.85,58.14,Portugal,Portugal,right,187,82,no,6.81,4.18,71.23,2.86,50,0.17,0.28,0.4,3.66,5.98,0.74,0,0,0,0,0.46,0,0,0,0.06,0,0,9,0.52,33.33,0,0,0.46,50,0.06,0,0.34,50,0.11,0.06,100,0.57,60,0.8,3.15,0.06,65.67,0.46,0.34,79.92,94.48,24.85,88.71,3.95,92.75,40.82,97.76,74.66,96.78,4.81,63.1,18.09,31.89,0.01,0.11,0.06,0,0.06,0,0.06,10.65,89.25,0.97,58.82,0.57,50,0.4,0.23,7.39,74.42,0,,0,,0,0,0,0,,,1.66,,,0,0,0,0,0,0
C. Romero,Tottenham Hotspur,Tottenham Hotspur,RCB,25,60000000,2027-06-30,16,1435,3,1.47,0,0.36,13.8,60,Argentina,Argentina,right,185,79,no,8.78,4.95,67.09,3.95,63.49,0.44,0.78,0.69,5.02,8.89,0.82,4,0.25,1,0.06,0.75,0.19,3,0.19,0.09,2,0.13,10,0.63,40,30,0,0,0,0,0,0,0,0,0.44,71.43,2.57,36.59,0.82,1.38,0.19,50.61,0.38,0.69,67.99,93.91,26.15,88.49,4.52,95.83,29.98,98.33,64.54,95.53,3.45,63.64,18.64,30.26,0.02,0.25,0,0.06,0.19,100,0.13,5.9,79.79,0.75,58.33,0.63,50,0.56,0,7.4,77.97,0,,0,,0,0,0,0,,,3.45,,,0,0,0,0,0,0
W. Saliba,Arsenal,Arsenal,"RCB, LCB",22,55000000,2027-06-30,21,2142,1,0.54,0,0.27,12.27,58.9,France,"France, Cameroon",right,192,85,no,6.81,4.16,75.76,3.87,53.26,0.21,0.33,0.38,3.45,5.42,0.46,2,0.08,0,0,0.21,0.04,1,0.04,0.02,1,0.04,5,0.21,20,20,0,0.04,0,0,0,0.04,0,0,0.38,44.44,1.97,34.04,0.29,0.88,0.04,50.46,0.29,0.29,65.08,95.16,19.62,89.51,1.64,94.87,34.79,98.19,62.14,96.48,2.9,68.12,17.85,31.35,0.01,0.08,0.04,0.04,0.04,0,0.08,5.76,82.48,0.34,37.5,0.25,50,0.17,0,5.38,77.34,0,,0,,0,0,0,0,,,1.05,,,0,0,0,0,0,0
L. Martínez,Manchester United,Manchester United,LCB,26,50000000,2027-06-30,6,445,0,0,0,0.17,12.54,48.39,Argentina,Argentina,left,178,77,no,7.89,6.07,63.33,1.62,12.5,1.01,1.25,0.4,3.03,3.75,0.4,2,0.4,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.4,0,0,0,0,0.61,66.67,1.62,50,0.2,1.82,0.2,38.63,0.2,0.4,52.79,92.34,18.2,84.44,3.44,100,24.47,95.87,48.74,96.68,3.84,42.11,18.86,32.49,0.03,0.81,0,0,0,0,0,8.49,78.57,1.01,20,1.62,12.5,0.2,0,6.47,81.25,0,,0,,0,0,0,0,,,2.43,,,0,0,0,0,0,0
Gabriel Magalhaes,Arsenal,Arsenal,LCB,26,50000000,2027-06-30,19,1757,2,1.57,0,0.1,13.73,59.33,Brazil,Brazil,left,190,87,no,7.73,4.46,71.26,4.25,54.22,0.2,0.3,0.92,4.35,6.47,0.67,1,0.05,0,0,0.51,0.1,2,0.1,0.08,2,0.1,9,0.46,44.44,22.222,0,0.2,25,0.2,25,0,0,0,0.36,71.43,2.2,41.86,0.82,0.56,0,39.95,0.1,0.92,50.87,90.33,18.24,82.02,3.38,98.48,22.44,94.98,46.36,94.36,4.3,50,19.43,37.83,0.01,0.1,0,0,0,0,0.05,6.51,80.31,0.51,40,0.46,33.33,0.15,0.05,7.32,69.93,0,,0,,0,0,0,0,,,1.9,,,0,0,0,0,0,0
S. Botman,Newcastle United,Newcastle United,LCB,24,45000000,2027-06-30,10,870,2,0.85,1,0.52,10.66,66.02,Netherlands,Netherlands,left,193,81,no,8.28,4.76,73.91,3.21,64.52,0.21,0.26,1.14,4.55,5.81,0.41,1,0.1,0,0,0.41,0.21,2,0.21,0.09,2,0.21,7,0.72,42.86,28.571,0.1,0.1,0,0.1,0,0,0,0,0.21,50,0.72,42.86,1.14,0.1,0,38.59,0.1,0.31,52.24,92.48,20.38,86.29,1.66,87.5,25.34,97.96,49.34,95.18,2.79,48.15,18.76,32.95,0.05,0.21,0,0.1,0.1,0,0.1,3.52,82.35,0.21,0,0.31,0,0.1,0,6.1,66.1,0,,0,,0,0,0,0,,,1.03,,,0,0,0,0,0,0
V. van Dijk,Liverpool,Liverpool,LCB,32,45000000,2025-06-30,19,1872,1,1.76,2,0.56,12.84,70.41,Netherlands,"Netherlands, Suriname",right,193,92,no,7.21,3.65,71.05,5.48,78.95,0,0,0.87,4.62,7.7,0.63,1,0.05,1,0.05,0.29,0.05,1,0.05,0.08,0,0,18,0.87,27.78,5.556,0.1,0,0,0,0,0,0,0,0.05,100,0.82,41.18,1.06,1.11,0.19,46.83,0.63,0.19,63.32,93.93,22.45,88.44,1.49,100,34.18,97.75,57.64,96.66,5.67,66.1,21.03,42.04,0.03,0.19,0.05,0,0,0,0.05,7.12,81.76,0.48,60,0.38,62.5,0.24,0,7.98,81.93,0,,0,,0,0,0,0,,,1.06,,,0.05,0.05,0,0,0,0
Pau Torres,Aston Villa,Aston Villa,LCB,27,45000000,2024-06-30,18,1743,2,0.82,0,0.47,10.33,60,Spain,Spain,left,191,80,no,5.68,4.54,62.5,1.86,52.78,0.26,0.37,0.31,2.58,3.67,0.46,1,0.05,0,0,1.6,0.1,2,0.1,0.04,1,0.05,8,0.41,50,25,0,0.26,60,0.15,66.67,0.1,50,0.05,1.24,83.33,2.01,74.36,0.46,2.22,0.15,40.84,0.21,0.41,53.55,90.16,18.85,80.82,2.94,96.49,26.44,94.53,46.57,94.79,6.82,59.09,20.84,38.35,0.02,0.1,0,0,0.36,57.14,0.05,7.95,79.87,1.08,52.38,0.88,17.65,0.36,0.1,9.29,72.78,0,,0,,0,0,0,0,,,2.01,,,0,0,0,0,0,0
B. Badiashile,Chelsea,Chelsea,LCB,22,40000000,2030-06-30,6,531,0,0.26,1,0.31,13.73,59.26,France,"France, Congo DR",left,194,77,no,7.8,6.1,69.44,4.07,45.83,0.34,0.52,0.17,3.22,4.96,0.51,1,0.17,0,0,0.34,0,0,0,0.04,0,0,2,0.34,50,0,0.17,0.17,100,0,0,0,0,0.17,0,0,1.36,62.5,0.51,1.86,0,45.76,0.34,0.85,62.03,92.08,24.24,85.31,3.22,100,27.46,96.91,57.8,94.43,4.07,58.33,18.57,32.23,0.05,0.17,0,0,0.34,0,0.17,5.59,75.76,0.85,60,0.51,33.33,0.34,0.17,8.81,67.31,0,,0,,0,0,0,0,,,2.71,,,0,0,0,0,0,0
R. Varane,Manchester United,Manchester United,"RCB, LCB",30,40000000,2025-06-30,12,801,1,0.76,0,0.16,10.11,62.22,France,"France, Martinique",right,191,81,no,10,4.83,74.42,2.13,73.68,0,0,0.67,6.4,8.07,0.34,1,0.11,0,0,0.34,0.11,1,0.11,0.09,1,0.11,6,0.67,33.33,16.667,0,0.11,100,0,0,0.11,100,0,0.11,0,0.79,0,0.9,2.36,0.11,30.9,0.45,0.11,46.18,89.54,17.08,80.26,3.15,96.43,19.89,94.92,42.47,93.65,3.6,40.63,17.07,19.1,0.02,0.11,0,0,0,0,0.11,7.53,86.57,0.22,50,0.22,50,0,0.11,6.97,61.29,0,,0,,0,0,0,0,,,1.91,,,0,0,0,0,0,0
