Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
E. Fernández,Chelsea,Chelsea,"LDMF, LCMF",23,85000000,2031-06-30,18,1531,2,4.34,0,1.7,16.87,49.83,Argentina,Argentina,right,178,78,no,6.53,6.23,53.77,1.35,43.48,0.18,0.25,0.35,3,4.32,1.12,5,0.29,0,0,2.35,0.12,1,0.06,0.26,1,0.06,31,1.82,41.94,6.452,0,1.06,16.67,0.41,14.29,0.65,18.18,0.12,2.12,47.22,7.11,44.63,1.7,2,0.88,44.56,0.59,1.47,56.67,85.17,18.28,72.99,8.47,95.83,22.22,90.74,48.85,89.41,6.76,65.22,19.08,35,0.1,0.65,0.06,0,1.41,29.17,0.29,9.41,72.5,3.47,50.85,3,35.29,1.47,0.18,8.11,76.81,0,,0,,0,0,0,0,,,0.41,,,0.41,0.18,0,0.94,2,50
M. Ødegaard,Arsenal,Arsenal,RCMF,25,80000000,2028-06-30,18,1775,4,3.56,3,3.07,16.23,41.25,Norway,Norway,left,178,68,no,4.31,5.12,51.49,0.35,14.29,0.46,0.7,0.05,1.22,1.88,0.81,1,0.05,0,0,3.35,0.2,2,0.1,0.18,0,0,40,2.03,37.5,10,0.15,0.91,50,0.1,50,0.81,50,0.15,3.14,46.77,8.11,37.5,3.25,1.52,0.46,37.42,0.46,0.86,47.05,88.25,14.6,79.51,9.08,94.97,15.57,93.16,44.47,90.42,1.67,51.52,15.91,28.96,0.16,1.88,0.05,0.1,1.52,43.33,0.71,4.61,80.22,4.66,64.13,1.57,35.48,2.94,0.41,5.37,84.91,0,,0,,0,0,0,0,,,0.51,,,0.91,0.05,0,0.76,2,100
D. Rice,Arsenal,Arsenal,"DMF, LCMF",25,80000000,2024-06-30,21,2025,3,1.64,2,1.84,14.09,51.42,England,"England, Republic of Ireland",right,185,80,no,7.56,4.67,64.76,2.89,43.08,0.44,0.69,0.22,4.09,6.39,0.76,2,0.09,0,0,1.69,0.13,3,0.13,0.07,1,0.04,27,1.2,29.63,11.111,0.09,0.31,14.29,0.13,0,0.18,25,0.04,1.73,66.67,4,46.67,0.76,1.82,0.8,49.82,0.18,0.4,62.36,92.52,17.47,84.73,5.87,94.7,29.02,96.63,58.27,94.89,3.78,62.35,17.91,35.74,0.08,0.62,0,0,0.13,100,0.13,9.51,87.85,1.29,72.41,0.36,25,0.89,0.04,7.33,81.82,0,,0,,0,0,0,0,,,0.62,,,0.13,0.04,0,0.18,0,0
Rodri,Manchester City,Manchester City,"RDMF, LDMF, DMF",27,80000000,2027-06-30,17,1628,4,3.48,2,1.73,14.98,53.51,Spain,Spain,right,191,82,no,7.35,5.64,54.9,2.05,75.68,0.06,0.1,0.22,4.2,7.43,1.55,7,0.39,1,0.06,2.16,0.22,4,0.22,0.19,0,0,36,1.99,36.11,11.111,0.11,0.44,12.5,0.11,0,0.33,16.67,0.06,1.66,66.67,5.58,44.55,1.55,2.65,0.28,80.88,0.11,0.83,96.25,93.22,23.16,85.68,12.05,97.25,43.12,96.54,87.35,95,8.46,79.08,17.96,37.69,0.1,0.83,0.11,0,0.83,33.33,0.39,14.21,88.33,3.04,63.64,1.71,38.71,1.88,0.06,9.95,85.56,0,,0,,0,0,0,0,,,1.22,,,0,0,0,0.11,0,0
M. Mount,Manchester United,Manchester United,"LDMF, AMF, LCMF",24,65000000,2024-06-30,8,443,0,0.21,0,0.18,23.16,43.86,England,England,right,181,74,no,9.95,11.38,53.57,2.03,10,1.42,1.96,0,2.44,3.36,1.42,1,0.2,0,0,1.02,0,0,0,0.04,0,0,3,0.61,0,0,0,1.63,25,0.81,50,0.81,0,0.41,2.03,30,6.5,40.63,2.23,0.81,0.81,19.91,0.61,1.22,29.66,82.88,9.14,80,5.89,96.55,7.92,84.62,27.43,86.67,0.81,75,15.1,21.82,0.04,1.02,0,0,0.61,0,0.2,4.27,80.95,2.64,46.15,0.61,0,0.41,0.2,3.66,83.33,0,,0,,0,0,0,0,,,0.2,,,0,0,0,1.63,0,0
K. Havertz,Arsenal,Arsenal,"LCMF, RCMF",24,60000000,2025-06-30,20,1394,4,3.81,1,1.68,20.66,43.75,Germany,Germany,left,193,84,no,5.36,4.84,53.33,5.75,38.2,0.26,0.4,0.06,2.52,3.89,1.55,5,0.32,0,0,1.55,0.26,3,0.19,0.25,1,0.06,23,1.48,21.74,17.391,0.06,0.77,16.67,0.65,20,0.13,0,0.06,1.68,53.85,5.62,47.13,3.94,0.9,0.9,20.85,1.1,1.48,28.28,87.21,6.2,78.13,7.49,93.97,7.36,85.96,26.79,89.88,0.71,63.64,13.45,7.58,0.11,0.58,0,0.06,0.52,37.5,0.45,3.16,79.59,1.1,70.59,0.19,33.33,1.1,0.13,2.07,84.38,0,,0,,0,0,0,0,,,0,,,0,0,0,0,1,100
Bruno Guimarães,Newcastle United,Newcastle United,DMF,26,60000000,2028-06-30,20,1991,1,2.13,3,1.81,20.61,51.1,Brazil,"Brazil, Spain",right,182,74,no,7.73,6.6,58.22,0.95,38.1,0.59,0.82,0.36,3.3,4.59,1.22,8,0.36,0,0,2.76,0.05,1,0.05,0.1,0,0,22,0.99,27.27,4.545,0.14,1.22,29.63,0.36,37.5,0.86,26.32,0.18,3.16,57.14,10.85,47.5,1.31,0.9,0.18,41.41,0.27,2.49,54.56,86.33,15.96,73.37,8.72,97.41,21.38,91.33,47.42,90.66,5.92,63.36,19.09,36.71,0.08,0.72,0.09,0,0.99,31.82,0.41,6.46,69.93,3.62,52.5,1.58,31.43,1.63,0.32,5.61,84.68,0,,0,,0,0,0,0,,,0.54,,,0.14,0,0,0,0,0
M. Caicedo,Chelsea,Chelsea,"RDMF, DMF, LDMF",22,55000000,2027-06-30,18,1636,0,0.22,0,0.27,16.67,49.5,Ecuador,Ecuador,right,178,71,no,7.26,6.82,53.23,1.93,54.29,0.33,0.48,0.66,3.3,4.8,1.76,5,0.28,0,0,1.05,0,0,0,0.01,0,0,6,0.33,16.67,0,0,0.39,28.57,0.06,100,0.28,20,0.06,1.43,57.69,4.95,52.22,0.22,0.61,0.22,40.87,0.11,1.27,53.42,91.56,12.49,78.85,10.95,98.49,19.36,95.74,49.4,93.32,3.63,74.24,16.27,32.15,0.01,0.22,0.22,0.06,0.11,50,0,6,85.32,0.99,44.44,0.44,37.5,0.39,0.06,6.27,69.3,0,,0,,0,0,0,0,,,1.27,,,0,0,0,0,0,0
S. Tonali,Newcastle United,Newcastle United,"RCMF, LCMF, DMF",23,50000000,2027-06-30,8,488,1,0.55,0,0.51,15.49,53.57,Italy,Italy,right,181,79,no,6.64,8.11,54.55,0.55,66.67,0,0,0,2.21,2.95,1.66,2,0.37,0,0,2.21,0.18,1,0.18,0.1,0,0,3,0.55,66.67,33.333,0,2.21,41.67,0.55,0,1.66,55.56,0.18,0.92,80,4.06,54.55,1.29,0.74,0.74,40.39,0.92,1.11,49.06,86.47,10.33,80.36,11.99,93.85,17.34,86.17,44.82,89.71,2.03,63.64,16.76,33.81,0.09,0.92,0.18,0,0.18,100,0.37,5.16,78.57,1.66,55.56,0.55,33.33,0.37,0.92,6.09,81.82,0,,0,,0,0,0,0,,,0.92,,,0,0,0,0.37,0,0
Casemiro,Manchester United,Manchester United,"RDMF, DMF",31,50000000,2026-06-30,8,730,1,1.75,0,0,17.88,44.14,Brazil,"Brazil, Spain",right,185,84,no,10.11,7.15,51.72,3.95,40.63,1.85,2.28,0.49,4.56,5.63,1.36,1,0.12,0,0,1.6,0.12,1,0.12,0.22,0,0,12,1.48,41.67,8.333,0,1.11,33.33,0.12,0,0.74,50,0,0.62,60,3.08,28,1.73,0.49,0,38.96,0.25,0.62,50.92,84.99,18.74,74.34,6.53,98.11,19.11,91.61,43.52,90.08,6.29,58.82,18.84,36.47,0,0.12,0,0,0.25,100,0,9.12,77.03,2.47,50,1.36,36.36,0.74,0.49,8.51,84.06,0,,0,,0,0,0,0,,,1.11,,,0,0,0,0,0,0
