Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Gvardiol,Manchester City,Manchester City,LB,21,75000000,2027-06-30,16,1444,0,1.07,0,0.78,16.45,51.89,Croatia,Croatia,left,185,80,no,8.48,6.67,59.81,1.99,43.75,0.31,0.51,0.37,4.18,6.79,0.87,2,0.12,0,0,1.81,0,0,0,0.07,0,0,13,0.81,53.85,0,0,1.5,16.67,1.43,17.39,0.06,0,0.19,1.75,60.71,5.11,43.9,1.18,1.99,0.44,44.81,2.06,0.81,56.59,88.11,18.07,81.38,7.73,95.97,20.07,91.93,52.98,91.41,2.12,55.88,17.06,29.66,0.05,0.44,0,0,0.19,33.33,0.12,7.73,78.23,1.31,42.86,0.5,37.5,0.44,0.19,8.04,76.74,0,,0,,0,0,0,0,,,1.31,,,0,0,0,0,0,0
R. James,Chelsea,Chelsea,"RB, RWB",24,70000000,2028-06-30,8,444,0,0.28,1,1.05,18.24,52.22,England,England,right,179,77,no,8.11,6.08,60,3.24,50,0.2,0.33,0.81,4.26,6.85,0.81,1,0.2,1,0.2,3.65,0,0,0,0.06,0,0,7,1.42,14.29,0,0.2,5.07,44,0,0,5.07,44,1.62,1.62,75,5.88,48.28,3.85,2.03,0.61,38.92,4.05,0.61,51.69,81.96,14.19,75.71,10.95,94.44,16.01,78.48,43.58,88.37,3.24,50,18.69,23.55,0.21,0.81,0,0,0.61,0,1.01,4.46,72.73,4.26,47.62,0.61,0,0.81,2.23,10.34,82.35,0,,0,,0,0,0,0,,,1.22,,,1.01,0.61,33.33,0.2,0,0
T. Alexander-Arnold,Liverpool,Liverpool,RB,25,65000000,2025-06-30,18,1684,2,1.67,3,3.55,12.35,54.55,England,England,right,180,69,no,7.54,6.41,59.17,0.64,58.33,0.21,0.35,0,3.53,5.81,0.21,5,0.27,0,0,3.05,0.11,2,0.11,0.09,0,0,28,1.5,10.71,7.143,0.16,3.15,40.68,0.21,75,2.78,38.46,0.53,2.3,65.12,3.74,51.43,0.96,1.23,0.75,47.94,1.18,0.32,61.51,79.58,26.08,66.8,7,94.66,21.48,87.31,46.28,89.84,12.29,50.43,22.25,41.87,0.19,1.87,0.05,0.11,0.69,15.38,0.75,13.63,63.92,5.77,42.59,3.05,22.81,1.39,1.23,14.54,83.82,0,,0,,0,0,0,0,,,1.71,,,1.44,0.21,0,2.73,0,0
B. White,Arsenal,Arsenal,"RB, RCB",26,50000000,2026-06-30,20,1766,1,1.09,1,1.55,10.5,50.49,England,England,right,185,77,no,7.03,4.79,60.64,1.99,48.72,0.25,0.39,0.61,3.87,5.94,0.46,4,0.2,0,0,1.02,0.05,1,0.05,0.06,1,0.05,7,0.36,42.86,14.286,0.05,1.83,30.56,0,0,1.78,31.43,0.51,0.41,50,1.63,28.13,1.27,0.82,0.2,45.36,1.17,0.15,54.53,88.88,20.13,82.03,6.93,96.32,18.35,93.33,49.48,93.72,3.26,48.44,18.65,36.9,0.08,0.51,0,0.05,0.15,66.67,0.31,7.29,79.02,2.4,57.45,0.46,22.22,0.71,0.56,8.31,85.89,0,,0,,0,0,0,0,,,1.12,,,0,0,0,0,0,0
A. Robertson,Liverpool,Liverpool,LB,29,48000000,2026-06-30,8,817,1,0.77,0,2.63,10.13,48.91,Scotland,Scotland,left,178,64,no,6.83,6.06,54.55,1.43,53.85,0.22,0.29,0.33,3.3,4.33,0.77,1,0.11,0,0,0.99,0.11,1,0.11,0.08,0,0,2,0.22,100,50,0,2.09,26.32,1.98,22.22,0.11,100,0.44,0.22,50,0.99,33.33,1.1,1.98,1.43,41.75,1.87,0,52.55,85.95,18.84,78.36,7.6,98.55,19.72,88.83,46.93,90.61,3.64,57.58,18.92,33.14,0.29,1.65,0.22,0,0.44,25,0.22,6.61,71.67,1.98,22.22,0.44,25,0.11,0.55,7.71,72.86,0,,0,,0,0,0,0,,,1.32,,,0.55,0,0,2.64,0,0
J. Timber,Arsenal,Arsenal,LB,22,42000000,2025-06-30,1,56,0,0,0,0,16.07,50,Netherlands,"Netherlands, Curaçao",right,182,77,no,6.43,6.43,50,3.21,100,1.61,6,0,1.61,6,3.21,1,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,59.46,0,0,69.11,90.7,25.71,93.75,4.82,66.67,30.54,94.74,69.11,90.7,0,0,15.4,0,0,0,0,0,0,0,0,20.89,92.31,0,0,0,0,0,0,9.64,83.33,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
Marc Cucurella,Chelsea,Chelsea,"LB, RB",25,40000000,2028-06-30,9,782,0,0.89,0,0.05,18.64,62.96,Spain,Spain,left,173,66,no,12.54,11.05,64.58,2.65,43.48,0.12,0.15,0.58,5.29,6.97,1.27,5,0.58,0,0,0.92,0,0,0,0.1,0,0,4,0.46,75,0,0,1.04,11.11,0.92,12.5,0.12,0,0,0.69,66.67,2.65,82.61,0.92,1.96,1.27,37.98,2.65,1.5,49.03,87.32,16.11,77.86,10.93,95.79,14.96,92.31,46.04,90.5,1.96,52.94,16.01,24.58,0.01,0.23,0,0,0.12,0,0,3.45,83.33,0.81,28.57,0.12,0,0.23,0.12,6.21,48.15,0,,0,,0,0,0,0,,,0.92,,,0,0,0,0,0,0
O. Zinchenko,Arsenal,Arsenal,LB,27,40000000,2026-06-30,19,1457,1,0.61,1,1.84,13.03,56.87,Ukraine,Ukraine,left,175,64,no,7.72,6.18,67,2.16,62.86,0.19,0.29,0,3.4,5.24,0.37,2,0.12,0,0,1.79,0.06,1,0.06,0.04,0,0,16,0.99,18.75,6.25,0.06,2.04,30.3,1.85,26.67,0.19,66.67,0.62,1.05,47.06,2.78,44.44,1.54,1.11,0.37,51.39,0.74,0.49,63.62,88.54,20.38,81.21,8.4,94.12,25.63,92.29,57.57,93.13,4.08,53.03,18.07,33.06,0.11,0.99,0.12,0.19,0.99,50,0.37,10.25,79.52,4.26,52.17,1.36,31.82,1.54,0.49,9.82,81.13,0,,0,,0,0,0,0,,,0.49,,,0.12,0,0,0,0,0
T. Partey,Arsenal,Arsenal,"RB, DMF",30,38000000,2025-06-30,4,284,0,0.11,0,0.14,14.58,67.39,Ghana,Ghana,right,185,77,no,9.19,6.65,85.71,1.9,33.33,0,0,0.32,3.49,6.35,0,0,0,0,0,2.85,0,0,0,0.04,0,0,2,0.63,50,0,0,0.95,100,0,0,0.95,100,0,1.9,66.67,5.07,62.5,0.63,3.17,1.27,54.51,0.63,0.63,71.94,93.39,20.6,84.62,9.51,100,29.15,97.83,66.23,94.74,4.75,73.33,17.77,35.48,0.04,0.95,0,0,0.95,33.33,0,13.94,90.91,2.54,75,1.9,50,0.32,0.95,11.41,86.11,0,,0,,0,0,0,0,,,0.32,,,0,0,0,0,0,0
L. Shaw,Manchester United,Manchester United,"LB, LCB",28,35000000,2027-06-30,8,769,0,0.23,0,0.94,15.68,53.73,England,England,left,181,75,no,10.77,6.67,61.4,2.81,70.83,0.23,0.3,1.05,6.44,8.21,1.17,4,0.47,0,0,1.4,0,0,0,0.03,0,0,2,0.23,0,0,0,1.76,33.33,1.76,33.33,0,0,0.35,1.29,54.55,3.16,33.33,0.82,1.05,0.47,31.48,1.4,0.23,47.75,86.27,20.25,78.61,5.38,89.13,14.51,90.32,42.02,92.48,3.98,44.12,17.05,32.95,0.11,1.17,0,0,0.23,50,0.47,4.68,70,1.99,58.82,0.82,28.57,0.7,0.59,7.26,64.52,0,,0,,0,0,0,0,,,1.87,,,0.23,0,0,1.76,0,0
Pedro Porro,Tottenham Hotspur,Tottenham Hotspur,RB,24,35000000,2025-06-30,20,2059,0,2.89,6,4.2,16.26,50,Spain,Spain,right,173,69,no,10.93,8.57,54.59,0.96,40.91,0.35,0.57,0.57,5.9,9.62,0.87,3,0.13,0,0,2.54,0,0,0,0.13,0,0,31,1.36,16.13,0,0.26,3.02,26.09,0.17,75,2.8,23.44,0.39,2.4,56.36,4.2,50,1.66,1.09,0.31,36.41,0.39,0.79,46.42,78.44,15.34,66.95,7.91,92.82,11.71,79.1,39.3,85.32,4.2,52.08,17.4,40.91,0.18,1.27,0,0.09,0.7,25,0.44,5.03,60,3.41,44.87,1.7,28.21,0.61,0.7,7.78,65.17,0,,0,,0,0,0,0,,,0.87,,,0.87,0.13,0,2.71,0,0
B. Chilwell,Chelsea,Chelsea,"LWB, LB",27,35000000,2027-06-30,7,405,0,0.95,1,1.33,17.11,35.06,England,"England, New Zealand",left,181,77,no,4.22,4.44,45,4.44,40,0.22,0.42,0,2,3.8,1.33,3,0.67,0,0,1.56,0,0,0,0.21,0,0,7,1.56,28.57,0,0.22,2.89,30.77,2.44,27.27,0.44,50,0.67,2.44,9.09,6.22,32.14,4,2,0.89,32,4.44,1.33,38.67,77.01,10.22,58.7,9.33,92.86,12,81.48,35.33,81.76,0.44,0,16.79,11.54,0.3,1.33,0,0,0,0,1.33,3.11,50,2.44,36.36,0,0,1.11,1.11,5.78,69.23,0,,0,,0,0,0,0,,,0.44,,,1.11,0.22,0,2.67,0,0
Diogo Dalot,Manchester United,Manchester United,"RB, LB",24,35000000,2028-06-30,19,1858,1,0.48,1,1.58,14.1,57.39,Portugal,Portugal,right,184,76,no,8.04,5.72,57.63,2.33,56.25,0.39,0.5,0.24,4.36,5.63,0.82,5,0.24,1,0.05,2.86,0.05,1,0.05,0.02,0,0,12,0.58,16.67,8.333,0.05,2.95,36.07,0.58,41.67,2.37,34.69,0.48,2.47,66.67,4.07,59.52,1.4,1.21,0.48,26.16,1.74,0.39,39.33,81.53,12.93,71.91,5.04,95.19,13.71,84.45,32.36,88.77,4.17,55.81,19.81,35.68,0.08,0.73,0,0.05,0.05,100,0.48,3.78,78.21,2.33,47.92,0.29,50,0.34,1.21,6.88,60.56,0,,0,,0,0,0,0,,,0.68,,,0.05,0,0,0.15,0,0
