Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
E. Haaland,Manchester City,Manchester City,CF,23,170000000,2027-06-30,15,1448,14,14.72,3,2.27,13.3,35.05,England,"England, Norway",left,195,94,no,1.49,1.24,45,2.92,36.17,0,0,0.06,0.93,1.46,0.62,1,0.06,0,0,2.61,0.87,11,0.68,0.91,3,0.19,54,3.36,55.56,25.926,0.19,0.5,25,0.25,25,0.25,25,0.06,1.31,42.86,5.78,34.41,4.66,0.44,0.12,7.83,0.75,1.06,9.88,75.47,1.49,62.5,2.92,89.36,1.68,88.89,9.2,78.38,0.19,66.67,12.69,9.15,0.14,0.56,0,0.06,0.25,25,0.44,0.5,75,0.5,50,0.25,25,0.68,0.12,0.56,66.67,0,,0,,0,0,0,0,,,0.06,,,0.06,0.06,0,0,4,75
Gabriel Jesus,Arsenal,Arsenal,"CF, LWF",26,75000000,2027-06-30,16,1136,3,4.61,2,1.79,26.86,41,Brazil,Brazil,right,175,73,no,6.81,5.47,65.22,3.41,25.58,0.08,0.12,0,3.17,4.94,1.74,4,0.32,0,0,4.6,0.24,3,0.24,0.37,2,0.16,29,2.3,44.83,10.345,0.16,1.11,7.14,0.48,0,0.55,14.29,0,4.75,65,13.07,42.42,6.26,1.43,0.79,18.14,1.9,1.82,25.91,80.12,3.8,64.58,8,93.07,6.97,78.41,23.93,84.77,0.95,41.67,14.8,16.9,0.14,1.43,0.24,0,0.71,55.56,0.71,1.19,80,2.22,46.43,0.71,55.56,2.06,0.08,1.82,69.57,0,,0,,0,0,0,0,,,0.87,,,0,0,0,0,0,0
D. Núñez,Liverpool,Liverpool,CF,24,70000000,2028-06-30,20,1363,7,8.32,6,2.86,19.48,37.97,Uruguay,Uruguay,right,186,80,no,3.63,3.96,56.67,4.16,36.51,0.07,0.12,0.33,1.32,2.34,1.12,5,0.33,0,0,3.9,0.46,7,0.46,0.55,0,0,57,3.76,47.37,12.281,0.4,1.12,41.18,0.46,28.57,0.66,50,0.33,2.71,56.1,7.86,33.61,7.07,2.11,0.53,17.1,1.45,0.66,18.49,77.14,3.37,64.71,4.49,91.18,5.68,79.07,16.31,81.38,1.12,47.06,15.65,18.61,0.19,1.32,0.2,0,0.26,50,0.59,1.65,60,2.25,67.65,0.4,33.33,1.91,0.4,1.65,76,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
Heung-Min Son,Tottenham Hotspur,Tottenham Hotspur,"CF, LAMF",31,60000000,2025-06-30,20,1897,12,8.49,4,6.28,11.62,40,Korea Republic,Korea Republic,right,183,78,no,1.9,2.09,54.55,0.71,20,0.05,0.08,0.05,0.71,1.17,0.43,1,0.05,0,0,3.51,0.57,11,0.52,0.4,0,0,52,2.47,48.08,23.077,0.19,1,33.33,0.81,35.29,0.19,25,0.19,2.66,60.71,6.83,44.44,5.27,2.04,1,21.21,1.09,1.04,25.43,83.4,6.12,76.74,7.07,95.3,5.98,84.92,23.82,85.46,0.71,80,14.1,20.09,0.3,1.47,0.09,0,0.81,47.06,1.09,1.66,77.14,2.23,72.34,0.71,46.67,2.8,0.24,3.32,84.29,0,,0,,0,0,0,0,,,0.05,,,0.05,0,0,0,1,100
C. Gakpo,Liverpool,Liverpool,"CF, LCMF, LWF",24,60000000,2028-06-30,19,959,3,4.41,2,0.56,21.3,42.73,Netherlands,"Netherlands, Togo",right,189,76,no,4.13,4.6,44.9,4.04,39.53,0,0,0.19,2.06,3.37,1.5,0,0,0,0,2.53,0.28,3,0.28,0.41,0,0,25,2.35,36,12,0.19,0.84,22.22,0.28,33.33,0.56,16.67,0,2.53,59.26,10.04,46.73,3.28,1.6,0.19,18.21,1.31,1.78,21.77,80.6,6.19,75.76,3.94,97.62,6.66,73.24,20.27,83.8,0.66,57.14,14.83,7.91,0.05,0.56,0.09,0.28,0,0,0.28,2.53,74.07,2.63,57.14,0.19,0,1.5,0.19,2.91,83.87,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
J. Sancho,Manchester United,Manchester United,"CF, LAMF, LW",23,55000000,2026-06-30,3,108,0,0,0,0.2,20.83,36,England,"England, Trinidad and Tobago",right,180,76,no,4.17,4.17,40,2.5,0,0,0,0,2.5,3.6,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0.83,0,0,0,0,5,33.33,11.67,42.86,3.33,5,4.17,20.83,0,1.67,35,78.57,6.67,75,5.83,85.71,10.83,76.92,33.33,82.5,0.83,0,14.95,11.02,0.17,0.83,0,0,3.33,25,0,0.83,100,3.33,75,1.67,50,2.5,0,5,66.67,0,,0,,0,0,0,0,,,0,,,0,0,0,0.83,0,0
Richarlison,Tottenham Hotspur,Tottenham Hotspur,"CF, LAMF",26,55000000,2027-06-30,18,1143,7,6.34,3,0.83,24.09,35.95,Brazil,Brazil,right,184,71,no,4.17,2.99,52.63,5.59,30.99,0.16,0.28,0.16,2.44,4.27,1.02,3,0.24,0,0,3.15,0.55,7,0.55,0.5,3,0.24,38,2.99,39.47,18.421,0.24,1.26,12.5,1.1,14.29,0.16,0,0.08,3.31,47.62,11.1,34.04,4.65,0.79,0.08,14.17,1.42,1.81,19.84,73.41,4.33,65.45,4.57,82.76,6.22,79.75,18.11,78.26,0.47,50,16.24,12.63,0.07,0.55,0.08,0,0.55,42.86,0.31,1.73,63.64,1.81,56.52,0.47,66.67,1.26,0.16,3.39,72.09,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
A. Isak,Newcastle United,Newcastle United,CF,24,50000000,2028-06-30,16,1266,10,8.15,0,1.27,13.01,38.25,Sweden,"Sweden, Eritrea",right,192,77,no,2.06,1.35,57.89,2.13,13.33,0,0,0.07,1.28,1.73,0.71,0,0,0,0,3.48,0.71,8,0.57,0.58,0,0,33,2.35,57.58,30.303,0,0.64,33.33,0.43,33.33,0.14,50,0,2.99,59.52,7.04,43.43,3.77,1.99,0.85,11.59,0.78,0.57,16.14,79.3,2.99,73.81,3.77,86.79,5.33,82.67,15,81.99,0.5,57.14,16.57,11.45,0.09,0.64,0,0.07,0.36,40,0.43,1.99,64.29,1.35,68.42,0.36,60,0.92,0.21,1.64,78.26,0,,0,,0,0,0,0,,,0.07,,,0,0,0,0.07,2,100
I. Toney,Brentford,Brentford,CF,27,50000000,2025-06-30,1,106,1,0.12,0,0.31,28.87,44.12,England,"England, Jamaica",right,179,70,no,3.4,0.85,100,8.49,30,0,0,0,2.55,3.33,0.85,1,0.85,0,0,4.25,0.85,1,0.85,0.1,0,0,1,0.85,100,100,0,4.25,60,0.85,0,3.4,75,0.85,0.85,0,11.04,46.15,3.4,0.85,0.85,16.98,3.4,3.4,28.87,61.76,12.74,46.67,2.55,66.67,5.94,71.43,23.77,64.29,0.85,0,16.61,24.08,0.27,1.7,0.85,0,2.55,33.33,1.7,3.4,75,5.94,57.14,2.55,33.33,1.7,3.4,8.49,60,0,,0,,0,0,0,0,,,0,,,0.85,0.85,100,0,0,0
M. Diaby,Aston Villa,Aston Villa,"CF, AMF",24,50000000,2025-06-30,21,1504,4,4.61,3,3.67,14.12,32.63,France,"France, Mali",left,170,67,no,2.69,3.59,43.33,0.96,6.25,0.06,0.1,0,1.08,1.71,0.72,0,0,0,0,3.77,0.24,4,0.24,0.28,0,0,34,2.03,44.12,11.765,0.18,2.63,34.09,0.78,30.77,1.62,33.33,0.48,3.71,48.39,8.2,31.39,4.25,2.03,1.08,16.76,1.26,0.54,22.08,82.93,3.71,75.81,7.72,96.9,6.52,75.23,19.21,89.72,0.36,66.67,16.13,7.65,0.22,1.38,0,0.12,0.24,75,1.08,0.96,87.5,2.99,64,0.18,66.67,1.8,0.9,2.27,86.84,0,,0,,0,0,0,0,,,0.36,,,0,0,0,0,0,0
