Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
B. Saka,Arsenal,Arsenal,"RWF, RW",22,110000000,2027-06-30,20,1945,6,7.38,6,6.99,22.26,52.18,England,"England, Nigeria",left,178,65,no,5.88,5.32,64.35,1.8,41.03,0.05,0.07,0.05,2.41,3.89,0.97,2,0.09,0,0,5.78,0.28,4,0.19,0.34,1,0.05,51,2.36,37.25,11.765,0.28,3.05,30.3,0.09,50,2.96,29.69,0.74,6.15,61.65,12.77,51.45,6.2,3.93,0.6,29.11,2.04,2.08,37.85,83.01,6.39,68.12,11.66,94.84,12.49,82.59,33.41,88.64,1.53,57.58,16.58,29.86,0.32,2.36,0.14,0,0.37,50,0.65,1.48,78.13,2.73,55.93,0.32,42.86,2.04,0.83,4.12,74.16,0,,0,,0,0,0,0,,,0,,,0.09,0.05,0,3.52,2,100
P. Foden,Manchester City,Manchester City,"RAMF, AMF, RW",23,110000000,2027-06-30,20,1780,5,5.68,4,3.31,17.19,49.71,England,England,left,171,69,no,4.7,3.84,63.16,0.71,50,0.15,0.24,0,2.12,3.4,0.46,1,0.05,0,0,4.2,0.25,5,0.25,0.29,0,0,47,2.38,42.55,10.638,0.2,1.37,25.93,0.56,27.27,0.81,25,0.15,4.96,54.08,10.37,47.8,3.89,2.28,1.11,35.54,2.07,1.67,41.92,87.58,7.43,76.87,12.54,96.77,12.49,89.07,39.08,90.69,1.52,60,15.51,26.07,0.17,1.26,0.1,0.15,0.51,30,0.76,2.48,77.55,2.33,56.52,0.76,20,1.82,0.2,4.25,78.57,0,,0,,0,0,0,0,,,0.2,,,0.35,0,0,1.01,0,0
Bernardo Silva,Manchester City,Manchester City,"RAMF, AMF, LCMF",29,80000000,2026-06-30,17,1593,6,2.48,3,3.4,12.94,43.23,Portugal,Portugal,left,173,64,no,5.14,4.69,62.65,0.51,22.22,0.23,0.37,0.17,1.98,3.27,0.56,4,0.23,0,0,3.05,0.34,6,0.34,0.14,0,0,19,1.07,63.16,31.579,0.17,3.28,29.31,1.69,30,1.53,29.63,0.45,2.71,47.92,6.44,35.96,3.73,3.45,0.96,49.1,1.64,0.68,57.68,87.07,12.32,76.61,14.01,96.77,20.73,87.47,51.36,92.19,3.05,62.96,17.39,33.12,0.19,1.58,0.06,0.06,0.68,16.67,0.85,4.12,75.34,3.67,50.77,1.02,11.11,1.41,0.96,5.42,81.25,0,,0,,0,0,0,0,,,1.07,,,0.56,0,0,0.68,0,0
M. Rashford,Manchester United,Manchester United,"LAMF, CF, RAMF",26,80000000,2028-06-30,20,1553,4,4.85,2,3.14,17.33,39.13,England,"England, St. Kitts and Nevis",right,186,70,no,2.72,2.96,45.1,1.97,41.18,0.12,0.15,0.12,1.27,1.61,0.41,2,0.12,0,0,4.98,0.23,3,0.17,0.28,0,0,42,2.43,30.95,9.524,0.12,2.03,45.71,1.39,54.17,0.64,27.27,0.35,6.32,50.46,10.43,38.89,4.06,3.42,1.45,21.33,2.14,0.7,25.04,77.55,5.74,58.59,6.84,91.53,6.84,82.2,21.44,82.7,1.62,46.43,16.06,28.44,0.18,0.75,0.17,0.06,0.46,25,0.58,1.8,58.06,2.96,58.82,0.7,33.33,1.56,0.81,4,71.01,0,,0,,0,0,0,0,,,0.06,,,0.06,0.06,100,0.12,1,100
L. Díaz,Liverpool,Liverpool,LWF,27,75000000,2027-06-30,20,1364,3,3.89,1,1.62,21.97,38.14,Colombia,Colombia,right,180,73,no,3.63,5.21,46.84,3.23,32.65,0.33,0.56,0,0.86,1.44,1.72,2,0.13,0,0,3.89,0.2,3,0.2,0.26,1,0.07,34,2.24,38.24,8.824,0.07,1.19,44.44,0.86,46.15,0.26,50,0.13,3.96,60,9.96,40.4,4.29,3.1,0.99,23.42,1.85,1.45,29.23,82.84,6.8,71.84,6.66,90.1,9.83,87.25,26.52,84.83,1.58,79.17,16.26,26.22,0.11,0.99,0.2,0,0.46,28.57,0.66,2.31,82.86,2.44,59.46,0.46,42.86,1.78,0.4,3.83,75.86,0,,0,,0,0,0,0,,,0.07,,,0,0,0,0,0,0
Mohamed Salah,Liverpool,Liverpool,"RWF, CF",31,70000000,2025-06-30,20,1949,14,12.77,6,7.85,14.92,32.51,Egypt,Egypt,left,175,71,no,3,3.14,58.82,0.88,15.79,0,0,0.05,1.15,1.89,0.32,2,0.09,0,0,3.88,0.65,10,0.46,0.59,1,0.05,65,3,50.77,21.538,0.28,1.89,41.46,0.18,50,1.66,38.89,0.28,3.23,35.71,8.36,27.07,5.45,2.36,0.32,28.08,3.69,0.83,30.66,76.81,7.9,62.57,7.39,93.75,9,76.92,26.92,81.3,1.94,47.62,16.57,24.79,0.36,1.89,0.09,0.05,1.34,31.03,1.34,3.28,61.97,4.85,59.05,1.66,30.56,3,0.79,5.68,86.99,0,,0,,0,0,0,0,,,0.28,,,0.05,0.05,0,0,6,66.667
Gabriel Martinelli,Arsenal,Arsenal,"LWF, LW",22,70000000,2027-06-30,19,1412,4,3.96,1,2.22,21.8,42.11,Brazil,"Brazil, Italy",right,178,75,no,3.7,3.82,60,2.04,28.13,0,0,0,1.4,2.3,0.83,1,0.06,0,0,6.95,0.25,4,0.25,0.25,0,0,37,2.36,40.54,10.811,0.06,4.84,35.53,4.59,36.11,0.19,33.33,0.76,7.65,55,13.64,38.79,7.46,4.33,1.15,29.51,2.04,0.96,36.01,84.42,3.76,77.97,12.11,98.42,13.45,81.04,29.58,93.1,1.66,73.08,18.41,24.3,0.14,1.53,0,0.06,0.19,33.33,0.64,1.59,76,3.38,58.49,0.25,0,1.91,1.66,3.57,87.5,0,,0,,0,0,0,0,,,0.13,,,0.13,0,0,2.29,0,0
J. Grealish,Manchester City,Manchester City,"LAMF, AMF, LW",28,70000000,2027-06-30,12,787,3,1.49,1,1.13,20.7,45.3,England,"England, Republic of Ireland",right,180,81,no,4.57,3.2,50,0.91,37.5,0.23,0.41,0.23,2.74,4.9,0.57,5,0.57,0,0,5.37,0.34,3,0.34,0.17,0,0,14,1.6,42.86,21.429,0.11,1.94,35.29,1.94,35.29,0,0,0.57,6.06,66.04,13.95,48.36,5.26,4.46,0.57,31.56,3.09,2.74,40.37,85.27,6.52,68.42,13.04,92.98,13.15,93.91,37.4,88.38,1.14,70,18.13,26.41,0.13,1.83,0.11,0,0.23,0,0.69,1.83,68.75,2.17,47.37,0.46,0,2.06,0.57,2.63,86.96,0,,0,,0,0,0,0,,,0.23,,,0,0,0,0.57,0,0
Antony,Manchester United,Manchester United,"RAMF, RW",23,70000000,2027-06-30,17,1005,0,2.03,0,2.26,19.61,43.84,Brazil,Brazil,left,174,63,no,7.7,6.63,54.05,1.43,18.75,0.81,1.1,0.18,3.31,4.53,0.9,3,0.27,0,0,4.03,0,0,0,0.18,0,0,20,1.79,25,0,0,1.7,36.84,0.09,0,1.61,38.89,0.36,4.84,46.3,9.22,39.81,2.69,3.13,0.72,27.13,1.79,1.97,35.82,79.75,7.61,67.06,9.4,92.38,10.57,78.81,32.87,82.83,1.25,57.14,13.67,14.71,0.2,1.52,0,0.09,1.16,61.54,0.99,3.04,67.65,3.04,61.76,0.9,60,1.52,0.72,5.64,80.95,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
R. Sterling,Chelsea,Chelsea,"RAMF, LAMF, RWF",29,60000000,2027-06-30,19,1675,5,4.34,4,4.4,21.87,40.79,Jamaica,"Jamaica, England",right,172,69,no,4.35,4.14,51.95,0.7,7.69,0.16,0.25,0,2.04,3.23,0.97,5,0.27,0,0,6.13,0.27,5,0.27,0.23,0,0,32,1.72,37.5,15.625,0.21,3.6,23.88,1.4,15.38,2.1,28.21,0.7,7.79,53.1,14.35,40.45,5.64,4.78,2.36,23.21,1.45,1.77,29.5,77.05,5.8,69.44,9.03,94.64,7.36,71.53,25.52,85.05,0.54,50,15.57,19.62,0.24,1.24,0.05,0.05,1.02,47.37,1.07,1.34,76,3.87,56.94,0.86,31.25,2.1,0.97,3.44,81.25,0,,0,,0,0,0,0,,,0,,,0.16,0.16,33.33,0,0,0
